r-gram,Counts
mcc,296294
ccf,143828
cfc,132364
fcm,71908
cmc,429203
mcm,170782
ccm,241239
mcf,64699
fcf,47227
cfm,126968
fmc,133863
cfo,10571
foc,13601
occ,154842
cco,126630
coc,228902
ocm,51957
cmm,22021
mmc,23956
mco,57366
cmf,79864
mfc,76062
fcc,60561
fco,36751
ccc,74971
cff,12638
ffm,11185
oco,17114
ocf,26787
mmf,1360
fmf,13262
fmm,3344
mfm,12412
fmo,2149
moc,6883
cmo,4798
mmm,270
cof,6243
ofc,3892
mfo,3131
ofm,2053
ffc,4129
mff,2982
fom,541
omc,2119
ffo,426
com,1591
fff,556
mmo,56
coo,1125
ooc,1314
ofo,376
off,120
foo,181
omf,101
mom,107
moo,22
fof,181
oom,2
ooo,1
omo,14
oof,12
mof,5
omm,7
