r-gram,Counts
kcc,81022
ccf,73573
cfc,58572
fck,52555
cku,98145
kuk,48300
ukc,135285
kcu,95069
cuf,49007
ufu,39455
fuu,42166
uub,24354
ubc,53074
bcf,16046
cfu,78881
fuf,39999
ufk,36161
fkc,56530
kck,64458
ckc,92116
kcf,43263
fcc,29943
cfb,7121
fbc,5032
bcc,26715
cck,42415
uku,60550
kuu,51171
ubu,21298
buk,12906
ukf,3057
kfc,8030
kuc,41558
ucb,26402
cbu,30434
buf,11222
ufc,67088
cfk,37137
fku,22815
kuf,37143
cff,38732
ffu,41932
uuk,64597
uck,26819
kub,28517
buc,13292
ucf,56912
fcf,30649
cuu,32328
uuc,10715
cub,29410
buu,19165
uuf,45164
ubf,9052
bfk,3331
fcb,24130
fcu,38851
cbc,55571
bcb,11596
ccb,23517
bck,24177
uuu,5443
uff,38626
ffc,31358
cuk,49527
kcb,36034
fuk,31289
bcu,47754
ffk,6832
ckf,5730
kff,1332
fff,3276
cuc,21413
cbk,22869
bkc,31476
ubk,27735
bkf,527
fub,24795
ckb,9398
kbu,8414
bku,20478
ucc,1836
fkf,2055
fkk,1707
kku,4701
bub,7512
ubb,3429
bbc,4327
kbk,3879
ukb,6129
kbc,8284
fkb,1856
fuc,24991
kkc,4438
cbb,3880
kbb,1847
cbf,8925
bfc,11081
ckk,5035
kfu,578
ukk,1598
bkk,1015
fbu,1479
fbk,3188
kfk,1502
bbu,2472
bff,4550
kbf,1964
ccc,3225
ufb,1205
fbf,937
bbf,638
bkb,6883
bbk,2708
bfu,2394
ffb,3118
kkb,122
fbb,989
kkk,46
bbb,279
bfb,160
kfb,21
kkf,94
ccu,11
