r-gram,Counts
hcbgb,1821
cbgbh,887
bgbhd,1128
gbhdh,534
bhdhc,1951
hdhcd,1759
dhcdg,3673
hcdga,1359
cdgad,1194
dgadi,1655
gadib,50
adibg,29
dibgd,71
ibgdg,716
bgdgh,12454
gdghc,3815
dghch,1211
ghchf,923
hchfg,354
chfgc,348
hfgcb,1156
fgcbg,1134
gcbgi,426
cbgif,446
bgifb,789
gifbh,794
ifbhd,525
fbhdh,1235
bhdhd,885
hdhda,1168
dhdai,732
hdaia,580
daiah,485
aiahg,80
iahgc,170
ahgcb,423
hgcbg,1385
ifbhe,99
fbheh,164
bhehd,132
hehde,54
ehdei,31
hdeid,5
deidg,2
eidgc,48
idgcf,23
dgcfg,87
gcfgh,123
cfghd,106
fghdg,394
ghdgc,929
hdgcb,1194
dgcbg,1573
gcbgg,680
cbggd,324
bggda,198
ggdah,1225
gdahf,2491
dahfc,692
ahfch,383
hfchd,526
fchde,64
chdeh,171
hdehd,389
dehdi,122
ehdia,128
hdiab,306
diabg,429
iabge,145
abgeg,89
bgegf,560
gegfh,271
egfhf,290
gfhfa,275
fhfad,106
hfadf,47
fadfi,47
adfia,106
dfiag,140
fiagc,642
iagcb,603
agcbg,2195
gcbgd,3298
cbgdg,7794
gdghd,670
dghdd,439
ghddh,865
hddhc,2927
ddhcd,1485
dhcdi,2370
hcdia,1094
cdiad,481
diadg,615
iadga,1001
adgad,1890
dgadh,2864
gadhd,1850
adhdi,968
dhdig,467
hdigh,324
dighd,144
ighdi,267
ghdia,139
abgei,98
bgeia,315
geiah,383
eiahf,718
iahfd,658
ahfdg,1036
hfdgc,1104
fdgcd,436
dgcdi,413
gcdia,205
adhdg,1023
dhdgf,494
hdgfi,248
dgfib,49
gfibi,12
fibif,42
ibiff,5
biffh,33
iffhd,14
ffhde,14
fhdeg,121
hdegh,385
deghd,482
eghdg,657
dgcbi,268
gcbif,955
cbife,220
bifeh,339
ifehd,431
fehdf,10
ehdfh,20
hdfhd,1000
dfhda,995
fhdai,292
hdaid,293
daidg,239
aidgc,99
idgcd,187
gcdib,133
cdibh,186
dibhb,42
ibhbg,107
bhbgf,190
hbgfh,343
bgfhd,793
gfhdd,332
fhddi,253
hddia,285
ddiae,32
diaeh,403
iaehd,158
aehdg,142
ehdgc,541
hdgcd,1597
dgada,170
gadag,249
adagg,62
daggb,41
aggbh,118
ggbhc,705
gbhcd,415
bhcdh,953
hcdhc,5322
cdhci,1261
dhcia,1311
hciaa,147
ciaag,60
iaagd,27
aagdh,111
agdhc,462
gdhcb,947
dhcbg,13677
hcbgf,2023
cbgfh,1299
gfhdg,3773
fhdgc,744
gcbgb,727
cbgbg,710
bgbgg,320
gbggd,247
fchdg,75
chdgc,470
iadgb,208
adgbg,639
dgbgf,144
gbgfh,325
gfhdb,391
fhdbh,234
hdbhd,565
dbhdd,21
bhddh,841
ddhci,1376
dhcic,1000
hcicg,267
cicgc,264
icgcb,958
cgcbg,1354
fchdd,101
chddg,720
hddga,1447
ddgad,1149
dgadg,4164
gadgg,2612
adggc,611
dggch,266
ggchd,971
gchdd,566
chddh,909
cgcbh,434
gcbha,1499
cbhae,193
bhaeh,406
haehd,515
aehdi,123
ehdic,334
hdica,532
dicag,229
icagc,209
cagcb,368
agcbh,781
aehdc,120
ehdci,144
hdcif,492
dcifh,132
cifhb,54
ifhbg,105
fhbgg,286
hbggh,259
bgghf,559
gghfd,538
ghfda,876
hfdah,1475
fdahb,114
dahbh,233
ahbhd,389
hbhdg,527
bhdgc,469
ibifh,90
bifhg,29
ifhgg,21
fhgga,430
hggad,475
ggada,412
gadah,197
adahc,213
dahcd,656
ahcdh,1097
hcdhf,2501
cdhfe,308
dhfeg,747
hfegh,457
feghd,396
eghda,138
ghdag,209
hdagd,698
dagdh,174
hcbge,1195
cbgei,653
fdgcf,41
dgcfi,130
gcfib,97
cfibh,80
fibha,111
ibhad,433
bhada,63
hadag,180
gbhcc,77
bhcci,251
hccia,439
cciaa,20
gdhce,66
dhcei,125
hceia,52
ceiah,106
fdgce,39
dgcei,93
gceia,45
ahfdd,831
hfddi,263
fddia,13
ddiad,158
adgaa,237
dgaai,703
gaaib,158
aaibg,203
aibgg,72
ibggg,78
bggga,180
gggad,389
cdhfd,1720
dhfdh,1542
hfdhc,2969
fdhci,724
hciag,526
ciagc,767
gcbge,497
ahfde,156
hfdeh,391
fdeha,264
dehai,363
ehaic,671
haich,360
aichf,782
ichfb,1049
chfbg,1552
hfbgg,982
fbggg,97
cdhfh,391
dhfhd,1349
hfhdd,761
fhddh,1106
hddhd,1194
ddhda,644
dhdag,1929
hdagg,616
daggd,282
aggdh,71
ggdhc,1769
dehab,73
ehabi,46
habih,73
abihb,29
bihbg,68
ihbgg,45
hbggg,44
hfhdg,2001
dgcbh,563
aehdd,363
ehddi,288
hddih,1210
ddihg,7
dihgc,36
ihgcd,137
hgcdi,270
dgbgg,96
gbggg,69
dhfdg,3960
hfdgh,1147
fdghc,630
hchfd,927
chfdh,901
fhbga,192
hbgai,385
bgaig,382
gaigh,519
aighb,346
ighbh,257
ghbhb,306
hbhbh,203
bhbhd,388
gfibg,58
fibge,26
ibgei,114
ahfdi,724
hfdic,2877
fdich,828
dichf,2114
hfbgd,3300
fbgdg,1857
chfdg,800
hfdgf,3118
fdgfh,2702
dgfhi,1103
gfhia,255
fhiag,77
hiagh,66
iaghc,117
aghca,99
ghcaf,122
hcafg,655
cafga,334
afgad,764
fgadh,612
gadhf,3480
adhfd,2135
dhfdi,3235
ichfd,1340
chfdi,354
hfdih,1286
fdihb,234
dihbh,1832
ihbhb,435
hbhbg,586
bhbgb,103
hbgbf,68
bgbfi,494
gbfih,167
bfihd,130
fihdf,44
ihdfi,92
hdfic,562
dfica,588
ficad,448
icadh,986
cadhd,356
adhdb,25
dhdbi,115
hdbif,832
dbife,55
bifei,44
ifeif,138
feifa,459
eifag,927
ifagc,1072
fagcb,563
dgbgb,198
gbgbf,140
ficai,497
icaif,37
caifb,8
aifbh,91
hdhci,1280
cbgdh,2267
bgdhf,2294
gdhfd,2132
ichfh,305
chfhc,293
hfhcd,1505
fhcdh,1183
cdhcb,2511
hfddg,476
fddga,525
adggd,2903
dggdg,4734
ggdgh,1495
dghdh,535
ghdhc,885
hcica,458
cicai,193
icaid,260
caidg,609
ibhbh,72
bhbha,385
hbhad,1108
bhadi,523
hadia,386
adiae,50
fibgi,21
ibgif,54
fbhdi,295
bhdih,608
hdihf,2165
dihfa,762
ihfab,80
hfabf,37
fabfh,48
abfhc,317
bfhcd,567
fhcdf,82
hcdfh,296
cdfhd,325
fhdaf,186
hdafg,2126
dafgg,1242
afgga,906
fggag,341
ggagd,83
gagda,43
agdaf,14
gdafh,233
dafhc,203
afhca,474
fhcah,676
hcahe,86
caheh,65
aheha,303
hehad,620
ehadi,851
adiad,315
iadgh,277
adghg,71
dghgc,704
ghgcb,262
hgcbi,148
gcbih,112
cbihc,86
bihch,191
ihche,46
hcheh,389
cheha,282
hadif,232
adifd,417
difdh,1428
ifdhc,2452
fdhcd,1755
dhcdd,375
hcddg,484
cddgf,389
ddgfh,1327
dgfhd,6934
gfhdi,1925
fhdih,860
ihfah,525
hfahd,932
fahdf,155
ahdfg,463
hdfgd,409
dfgda,325
fgdah,2437
gdahb,204
dahbf,120
ahbfi,141
hbfie,24
bfiei,12
fieif,39
ieifh,11
eifhc,125
ifhcd,379
fhcdg,942
hcdgf,2156
cdgfh,4742
fhdia,573
hdiah,266
diahd,575
iahdi,167
ahdia,286
iabgi,260
abgif,207
ifbhg,156
fbhgc,353
bhgcb,329
hgcbh,236
ddihb,363
dihbg,59
ihbgi,18
hbgif,49
fbhdg,436
bhdga,583
hdgad,2006
gadih,1249
adihf,1029
ihfad,1080
hfadh,1317
fadhb,109
adhbf,480
dhbfh,850
hbfhc,1373
adghd,112
dghdi,356
ghdif,132
hdifd,514
hfahg,104
fahgc,182
ehadf,151
hadfg,143
adfgd,140
iahdd,203
ahddi,425
hddif,292
ddifd,256
hfaha,87
fahai,69
ahaid,66
haidg,209
fhbgb,83
hbgbg,130
bgbgf,734
gbgfb,313
bgfbh,420
gfbhb,213
fbhbh,206
ffhda,31
fhdah,1188
hdahe,195
daheg,101
ahegh,252
heghd,689
eghdi,311
ghdic,499
hdicb,851
dicbg,932
icbgg,527
cbggg,224
fdhcb,2046
hcbgd,9305
hchfi,277
chfic,245
hficd,951
ficda,113
icdag,258
cdagg,89
gbhca,173
bhcah,112
hcahc,566
cahci,134
ahcia,350
gbhdg,678
gcbgc,530
cbgch,580
bgchd,284
gchdg,451
hdgcf,116
gcfia,376
cfiad,322
fiadg,1276
iadgf,884
adgfh,4705
dgfhb,1718
gfhbg,1080
fhbgc,129
hbgch,125
