r-gram,Counts
ckc,236172
kcf,81982
cfc,482371
fcc,187829
ccf,195647
fck,108120
kcc,85833
cfb,30798
fbc,20583
bcc,108478
fbb,6089
bbf,5582
bfc,54779
ccb,103013
cbf,42195
bfb,1697
fcb,113738
cbc,242908
bck,54043
bcb,48846
cff,50970
ffc,52768
ckf,20702
kfc,18504
ccc,64360
fcf,198734
bbb,6249
bbc,31542
bcf,88704
cbb,32643
cck,83480
fbf,8984
bff,4861
kck,24104
fff,6012
ckb,11541
kbf,4664
kcb,52621
ffk,582
fkb,5
kbb,1977
fbk,2109
bkc,5411
fkc,1575
bbk,3585
ckk,1333
kkc,1382
kbc,5038
cfk,928
kff,2147
kfb,642
ffb,4628
bkf,602
cbk,472
kbk,8
bkb,141
bfk,88
kfk,43
fkf,32
fkk,29
bkk,20
