r-gram,Counts
cmc,564595
mcf,143478
cfc,268412
fcc,121967
ccf,107623
ccm,215670
mcm,240279
mcc,200974
cfo,33094
foc,33521
occ,59199
cff,22615
ffm,5037
fmf,1760
mfc,32071
cfm,25577
mco,49401
cof,15970
ofc,16733
coc,128444
cco,58847
fcm,129606
cmm,19041
mmc,18926
ccc,64360
ocm,62753
fco,26938
com,7041
omc,8836
fcf,61078
cmf,49364
mff,4376
fmc,41776
oco,19840
fom,2327
fof,6987
ofm,3742
mfm,11124
off,3409
fff,3446
ffc,22373
mfo,4809
ocf,37519
cmo,15309
mof,2905
coo,3571
ooc,3808
ofo,2457
ffo,2990
moc,13538
fmm,1074
omf,295
mmf,961
oof,479
fmo,870
foo,515
omo,179
mmo,334
oom,15
mmm,232
omm,106
mom,33
moo,216
ooo,98
