r-gram,Counts
cku,42023
kuf,36955
ufc,105579
fcc,60187
ccf,85646
cfc,136983
fcu,23080
cuf,21538
fck,48770
ckc,53089
kcc,36356
cfb,18596
fbu,9307
buc,12822
ucf,40325
fbb,6089
bbf,5582
bfu,26321
fuu,71081
uub,25524
ubf,19606
bfb,1697
cfu,145917
fub,56602
ubu,38919
buk,27588
ukc,81499
kcu,18906
cub,16827
bub,22821
uuf,48138
ufu,93892
cff,32748
ffu,27077
fuk,59350
ukf,12919
kfc,7757
ccc,22605
kuc,9048
ffc,25691
fcb,57136
cbc,64941
bcc,46989
ccb,41941
bcb,26025
bcu,22672
fuf,83440
fcf,115294
ubc,69366
fuc,33481
cbf,22589
uku,59561
ucb,18721
cbu,69682
bbb,6249
bbc,22029
bcf,48487
uff,18222
ubb,14556
buu,25995
uuk,42535
kcf,45027
fbf,8984
bfc,28458
fbc,11276
bff,4861
kuk,15659
kuu,21523
cbb,18087
fff,6012
ukb,7495
kbf,4664
kcb,31741
ffk,582
fkb,5
kbb,1977
ucc,5012
cuu,8627
uuu,10171
kfu,10747
cuk,17230
bbu,9513
buf,40217
cck,17721
ccu,3236
kub,20880
fbk,2109
bku,2304
bck,26455
uuc,11029
fku,177
cuc,3676
uck,5994
kck,8445
bbk,3585
ukk,888
kkc,1382
kbu,2022
cfk,535
fkc,1398
kff,2147
ufb,12202
ckb,4046
ckf,7783
kfb,642
kbc,3016
ffb,4628
bkc,3107
bkf,602
ufk,393
ubk,207
ckk,445
kbk,8
bkb,141
cbk,265
bfk,88
kfk,43
fkf,32
fkk,29
bkk,20
ucu,4
