r-gram,Counts
cmu,149720
muf,71748
ufc,74253
fcc,43252
ccf,47370
cfc,70490
fcu,17861
cum,33295
umc,149277
mcm,124625
cmc,149235
mcc,80768
cfo,18939
fou,10879
ouc,7301
ucf,18819
cff,11407
ffm,5037
fmf,1760
mfu,15313
fuu,38855
uuf,27675
ufm,12133
fuc,21999
ucm,37477
mum,115654
umu,116363
mcu,35743
muo,26098
uof,8471
ofu,7456
uum,73746
uou,30385
uco,8744
cof,7499
fum,54071
umm,10050
mmc,10562
ccc,22605
cco,26786
coc,35288
ocm,36501
muc,26051
cmm,8991
fco,11249
occ,19512
fcm,75535
ufu,45624
cuo,8541
ouu,21332
ccm,71152
com,5430
omu,3163
cfu,78045
fuf,27247
cmf,27939
mff,4376
fmc,21423
mco,23303
uuo,14776
ouo,9809
ofc,9277
muu,58412
fuo,15689
uoc,32914
mcf,71730
fom,2327
omc,5673
ufo,14155
fof,6987
cou,29857
oum,26252
ofm,3742
fcf,33831
uom,1611
umf,21425
mfm,11124
fmu,20353
uff,11208
ucc,5012
off,3409
cuu,8627
fff,3446
uuu,10171
cuf,13759
ffc,10950
mfo,4809
foc,22642
ccu,3236
cfm,13444
uuc,11029
ouf,16944
ffu,11423
mfc,16758
ocf,20575
cuc,3676
oco,10031
ocu,11054
mmu,8364
umo,5903
mof,2905
uoo,1532
oou,1979
ofo,2457
ffo,2990
cmo,9406
mou,8538
moc,5000
fmm,1074
omf,295
mmf,961
coo,2039
oof,479
fmo,870
ooc,1829
foo,515
omo,179
mmo,334
oom,15
mmm,232
omm,106
mom,33
moo,216
ooo,98
ucu,4
