r-gram,Counts
chdgf,824
hdgff,313
dgffg,242
gffgc,661
ffgca,795
fgcag,860
gcagf,947
cagfh,489
agfhc,4735
gfhcb,4898
fhcbg,4567
hcbgi,1865
cbgia,211
bgiaf,25
giafg,220
iafgi,109
afgii,203
fgiig,246
giiga,249
iigad,126
igadi,190
gadig,748
adigi,256
digia,156
igiae,36
giaeg,178
iaega,165
aegai,383
egaia,803
gaiah,1920
aiahc,969
iahca,216
ahcai,358
hcaia,72
caiai,270
aiaig,476
iaigd,307
aigda,309
igdag,548
gdaga,2698
dagai,1016
agaia,1128
gaiaf,252
aiafg,558
iafgg,415
afgga,1088
fggah,1424
ggahg,128
gahge,705
ahgeb,23
hgebf,12
gebfg,138
ebfge,26
bfgeh,58
fgeha,71
gehae,3
ehaeg,7
haegg,64
aeggf,79
eggfh,13
ggfhd,54
gfhdg,998
fhdgf,237
hdgfi,523
dgfic,673
gficb,684
ficbi,465
icbif,670
cbifi,734
bific,277
ifica,62
ficag,350
icagd,233
cagdg,154
agdga,1170
gdgah,835
dgahf,472
gahfd,774
ahfdg,863
hfdga,451
fdgad,558
dgadg,5511
gadgc,2540
adgcg,976
dgcgd,512
gcgdi,704
cgdic,375
gdicc,97
diccg,78
iccgf,120
ccgfh,93
cgfhd,384
gfhde,77
fhdeg,145
hdegd,54
degdf,9
egdfg,166
gdfgc,313
dfgci,311
fgcig,502
gciga,337
cigag,270
igagf,1271
gagfh,3071
hcbgd,2086
cbgdh,1817
bgdhd,344
gdhdf,21
dhdfi,20
hdfia,43
dfiai,75
fiaif,416
iaifi,416
aific,395
icagc,438
cagcb,251
agcbg,967
gcbgd,1183
cbgdg,876
bgdga,889
dgcgi,259
gcgii,449
cgiii,88
giiif,200
iiifg,286
iifge,153
ifgeg,1113
fgega,1839
gegag,1697
egagd,940
gagda,3116
agdag,4917
gdagg,2972
dagga,775
aggag,882
ggagf,1373
cbgid,113
bgidi,39
gidii,44
idiib,33
diibi,59
iibid,57
ibida,72
bidah,287
idahb,514
dahbf,53
ahbfg,728
hbfga,266
bfgai,715
fgaie,165
gaieg,671
aiegb,149
iegbf,63
egbfg,315
gbfga,654
fgaii,332
gaiib,452
aiibi,371
iibie,44
ibieg,90
biega,500
iegag,870
egagf,607
bgiai,60
giaia,77
iaiad,310
aiadh,1947
iadhb,470
adhbf,46
dhbfg,87
fgaig,683
gaigd,915
daggc,455
aggcg,246
ggcgf,325
gcgfh,612
cgfhe,662
gfheg,1308
fhega,856
hegag,678
cbgig,1068
bgigc,293
gigcb,153
igcbg,294
gcbgi,200
cbgib,127
bgibf,3
gibfg,165
ibfga,240
bfgah,1487
fgahc,1112
gahcc,565
ahccb,103
hccbi,310
ccbig,181
cbigf,303
bigfh,242
igfhd,214
dgfie,61
gfieg,1774
fiega,873
bgiga,629
gigad,178
adigg,201
digga,384
iggag,376
ggagb,282
gagbf,237
agbfg,463
gahcb,1316
ahcbg,1083
hcbga,865
cbgah,1067
bgahe,398
gaheg,2100
ahegg,472
heggf,41
hdgfh,2743
dgfhc,1069
gfhcc,133
fhccg,97
hccga,124
ccgah,205
cgaha,884
gahah,1323
ahahd,475
hahda,794
ahdai,3565
hdaig,882
daigf,163
aigfe,38
igfeg,132
gfegc,233
fegcb,266
egcbf,320
gcbfi,238
cbfic,521
bfici,148
ficii,46
iciig,44
ciiga,122
iigag,553
igagd,427
daggg,550
agggf,73
gggfe,42
ggfeg,264
fegch,201
egchc,230
gchcb,754
chcbe,98
hcbeg,352
cbegd,562
begdg,693
egdgb,135
gdgbg,478
dgbga,570
gbgai,1003
bgaig,898
gaiga,1407
aigag,622
agfha,1142
gfhag,1238
fhagd,366
hagda,1115
gidif,209
idifg,465
difga,648
ifgah,1165
fgahi,145
gahig,349
ahiga,1386
higah,1173
igahc,1062
gahci,1057
ahcia,503
hciai,435
ciaia,338
iaiah,504
