r-gram,Counts
cmc,140839
mcm,91747
mcc,17060
ccm,43145
mcf,107973
cff,58214
ffo,39820
fof,13433
off,28302
ffc,76463
fcf,156921
cfc,166340
foc,65843
ocf,65214
cfu,90597
fum,54713
umc,87845
mcu,9175
cum,19608
mco,43106
cof,30519
fco,52440
coc,53463
fcu,24357
umu,39544
mum,47172
fcc,43217
cco,7267
ocm,48255
cmu,96779
muu,30570
uuf,33344
ufo,13047
cou,38987
ouu,25287
ufc,104858
cfo,21478
fcm,82032
ouf,30481
cuu,1214
uum,26188
occ,10880
muf,53134
fuf,78484
ofc,3046
cmf,45121
mfm,12697
fmf,10704
mff,46779
muc,7113
ucm,17559
ffu,30743
fuo,21091
uoc,28364
oco,16644
ofu,2295
ufu,51179
ccf,20253
mfo,20015
ofm,13578
fuu,14757
mfc,8260
ouo,7222
ocu,6677
uff,32382
fou,23019
uuc,5385
muo,21782
uou,22002
oum,16747
fff,28422
cuf,15509
cfm,20118
fmc,40378
ffm,18651
uuo,6911
uof,11204
ofo,7935
cuo,4564
ouc,4271
ucf,6386
umf,37039
uuu,4236
fmu,23448
fuc,10882
ufm,9486
uco,3512
mfu,5113
ccc,1359
ccu,686
ucc,194
