r-gram,Counts
bhch,10971
hchb,27708
chbe,1645
hbeh,2477
behc,1447
ehch,6885
hchf,6629
chfg,3536
hfgi,8523
fgig,7689
gigi,5599
igih,11794
gihb,4458
ihbh,21736
hbhe,12951
bheg,14621
hegi,13053
egig,12695
gige,9454
igeh,11180
gehd,8940
ehdg,9212
hdgf,12117
dgfd,1010
gfdh,1362
fdhc,410
dhcg,6338
hcgi,12354
cgih,8692
gihc,10735
ihch,29904
hchc,13636
chcg,4723
hcgc,7945
cgch,5380
gchb,4903
chbh,19342
hbhf,13252
bhfh,14836
hfhc,7796
fhcd,1133
hcdh,4415
cdha,806
dhah,8260
hahf,8864
ahfh,6990
fhch,5801
fhcb,1709
hcbg,2165
cbgb,168
bgbi,163
gbic,530
bich,681
iche,1827
cheh,7753
hehf,11674
ehfh,5393
hfha,10581
fhad,3125
hadi,2781
adig,1693
digc,881
igch,14131
chbg,8401
hbga,3595
bgad,1506
gadh,21950
adhc,7773
dhci,6579
hcig,9437
cigf,3722
igfh,15525
gfhc,11208
hche,4930
hfhe,4122
fheg,3243
hega,4206
egah,1624
gahc,6848
ahca,1387
hcad,531
cadh,598
adhf,2265
dhfh,10774
fhcg,5544
cgcb,498
gcbh,2251
cbha,1790
bhah,6277
fhai,5235
haif,1410
aifg,399
ifgi,1912
fgic,429
gich,869
hfhi,6899
fhih,6258
hihi,2464
ihih,9423
hihb,7146
dgfh,6005
fhcc,1183
hcch,5241
cchc,913
chch,6261
hchd,8156
chdh,8464
hdhd,4307
dhdb,296
hdbh,2151
dbhi,1095
bhih,9310
hihd,6706
ihdg,2871
dgfg,1825
gfgi,3788
fgid,454
gidh,457
idhd,303
dhdh,3872
dhdi,8021
hdic,12505
dich,6315
ehfi,4073
hfih,3437
fihb,1795
hcbh,9056
cbhf,1990
hfhd,17136
fhdg,3560
hdgc,2153
dgci,1682
gcih,4119
cihd,3970
ihdi,6333
dici,5140
icig,2733
gfhb,2582
fhbh,6192
dgch,1919
gchc,6449
chcd,1916
hcdi,2246
cdic,421
ichi,2141
chih,2246
gcic,720
cich,963
ichf,1011
chfh,7898
fhag,3381
hagc,3390
agci,1298
cihc,9313
hbhd,7214
bhdi,4116
chig,2199
higi,5513
gihi,3642
hege,1788
egeh,843
hcga,6572
cgad,3112
cgcf,163
gcfh,984
cfhi,952
cica,247
icah,1944
cahc,2239
ahcb,1724
bhfi,5599
hfia,3997
fiah,2670
iahf,979
ahfg,4594
fgia,743
giad,106
iadh,4817
chcf,1221
hcfg,990
cfgf,210
fgfg,2254
gfga,4973
fgai,2866
gaig,1944
aigf,1093
gfhi,5362
fhic,453
hicg,210
icga,848
cgag,1441
gagc,1883
agcd,311
gcdi,431
icha,1489
chah,10390
hahi,6318
ahig,4988
higa,2381
igah,6147
ahcd,1229
higc,8319
chba,816
hbah,1387
bahc,357
ahci,6107
hcih,17022
cihb,4567
cbhi,2796
hdia,3292
diad,1394
iadc,1256
adch,1423
dcha,588
chag,5705
haga,6145
agah,3343
gahf,3982
ahfa,350
hfah,1268
fahd,478
ahdh,6812
hdhf,11578
dhfi,2822
fihd,1652
dicb,2054
icbh,3124
dgcg,1221
gcgb,738
cgbh,6594
gbhi,1808
gcha,8289
fhci,4533
ciha,2555
ihah,9440
hahd,6238
hfig,1911
figf,1199
fhca,1422
hcah,7142
cahd,1559
