r-gram,Counts
fmc,13652
mcc,24412
ccf,12846
cff,5514
ffm,2180
fmo,400
moc,1211
ocm,6821
cmf,13576
mfm,6666
mcf,9155
ffc,8106
fcm,10321
mff,3653
ffo,825
foc,7425
occ,16303
cco,14090
coc,29240
ocf,6647
cfo,3589
ccc,11961
oco,8496
cof,4920
ofm,1542
fff,986
fco,4665
cfc,21784
fcf,7522
mfo,3715
fof,1049
mco,7353
cmc,36991
fcc,10680
ccm,24459
fmf,1536
cfm,5283
mcm,10269
ofc,2157
coo,261
oof,94
mof,246
cmo,1050
com,183
omc,238
off,1944
fmm,84
mmc,309
foo,224
ooc,391
mfc,1141
ofo,666
cmm,253
fom,97
omo,7
omf,32
mmf,31
omm,3
ooo,1
