r-gram,Counts
bfc,13289
fcu,11736
cuf,9569
ufb,4353
fbk,3242
bkf,472
kfc,427
fcf,18639
cfb,7090
fbf,7275
fcb,9228
cbb,3207
bbu,1314
buf,2044
fbb,2171
bbf,1830
ufu,9627
fub,3994
ubf,3269
bfu,4758
fuu,6390
uuu,1424
uuf,5491
ufc,15944
bbc,4143
bcf,4495
cfc,22852
cub,3751
ubc,5480
fck,2642
ckb,2942
kbf,3835
bfb,1302
cfu,10382
uub,2034
ubu,2522
bub,3040
cuk,2111
ukc,2707
kcc,944
ccc,4333
ccb,5096
cbc,9282
fcc,14919
cck,2780
cbf,4381
ubb,2334
cbu,3116
bcb,3029
bcc,6143
buu,1245
cuc,1419
ucu,233
fuf,12187
ccf,13391
bkc,1622
kcb,1559
cff,3906
ffc,4653
bcu,4352
uff,1794
bck,1444
cku,1892
kuf,2501
ckc,2655
kcf,3212
fff,1564
fuk,1178
kff,138
kcu,945
bff,1198
fuc,3110
ucf,4572
ukb,655
ckf,293
kub,810
ffu,1753
buk,410
kck,457
ccu,1182
uuc,1329
ucb,1097
uku,1556
bbb,1084
fbu,259
buc,503
kfu,339
bbk,536
bkb,480
kuk,380
uck,474
uuk,1029
bku,1224
ucc,443
kuu,650
cuu,1598
ukf,179
kuc,458
ffb,621
kfb,40
fbc,459
ufk,74
fkc,107
kbc,99
cfk,79
fku,99
kbb,111
bkk,28
kku,28
ubk,24
bfk,44
kbk,1
kbu,31
cbk,23
ffk,9
ckk,15
kkc,26
ukk,11
