r-gram,Counts
fmc,10448
mcu,9499
cuf,3874
uff,3400
ffm,2180
fmo,400
moc,668
ocm,4572
cmf,10521
mfm,6666
mcf,6642
cff,2114
ffu,2652
fum,2711
umf,3055
mff,3653
ffo,825
foc,5250
ocu,3987
cuo,4403
uou,4358
ouf,2479
ufo,2110
fou,2175
ouu,3575
uuu,1424
uuo,3065
uoc,9030
oco,5434
cof,2949
ofm,1542
fff,986
ffc,5454
fco,2595
coc,10138
ufc,5231
fcf,2798
cfc,8107
fcm,7610
mfo,3715
fof,1049
mco,4505
cou,5714
uuf,2295
ufu,3821
umc,9870
fcu,3547
cum,7154
mcc,10248
ccc,4333
ccf,5288
cmc,16544
ccm,10983
fmf,1536
ocf,4168
cfm,3960
fmu,3204
mum,3888
cmu,5051
fuu,1942
cuc,1419
ucu,233
fuo,2070
fuf,4724
occ,7227
cfu,4625
ofc,1427
umu,5526
fcc,4531
muf,2513
mcm,6381
uoo,73
oof,94
cco,4996
ouo,3062
ufm,1323
mof,246
muu,2768
cmo,412
com,167
omc,195
ouc,1514
uco,1626
cfo,1479
omu,43
ofu,730
uum,3194
ccu,1182
muc,1897
ucf,1389
uuc,1329
ucm,3128
uof,1971
off,1944
muo,2848
fmm,84
mmu,90
oum,2249
fuc,660
mou,543
foo,224
oou,89
mfc,862
ucc,443
ofo,666
ooc,302
cuu,1598
coo,188
mfu,279
umo,638
cmm,146
mmc,219
fom,97
omo,7
umm,107
omf,32
uom,16
mmf,31
omm,3
ooo,1
