r-gram,Counts
cfc,74306
fcf,20365
fcc,31264
ccm,15652
cmc,38926
mcc,17669
mcm,8743
cmo,657
moc,666
occ,38818
cco,35174
coc,85100
ocf,35336
cfo,12297
foc,21091
ccf,36925
fco,21624
oco,27327
mcf,20062
ocm,7192
cff,19691
ffo,4771
ffm,10780
fmc,16535
ccc,8090
ffc,6437
fcm,12582
coo,1745
ooc,1816
cmf,3973
mff,860
fff,938
cfm,6395
cof,6879
ofc,3682
ofo,2654
mfo,2498
foo,120
mco,9732
mfc,1410
fof,974
off,1437
cmm,613
mmc,589
fmf,1152
mfm,398
mmo,11
mmf,33
fmo,59
ofm,193
fom,35
omc,156
com,132
fmm,20
mof,62
oof,51
omf,8
moo,2
mmm,2
omo,3
