r-gram,Counts
cbu,70774
buu,32114
uub,33830
ubb,13022
bbc,25501
bcc,82981
ccb,85904
buf,22264
ufu,41448
fuc,15674
ucf,13994
cfc,141155
fcf,124247
fcb,34367
cbf,24183
bfc,16618
fcc,75046
ccf,72219
cfb,12366
fbb,4783
bcb,144562
ubf,8545
cff,21014
fff,11808
ffu,16443
fuf,66351
ufc,96069
cbc,161805
buc,13586
ucb,15660
fub,22533
ubc,92068
bub,52538
bcf,24601
cfu,60526
fuu,26099
uuf,25876
fcu,40227
cuf,40980
cbb,23732
bbb,15868
bbu,13029
bfu,12240
fbc,13173
ubu,32932
ffc,20045
bcu,40402
cub,37666
bfb,5481
bbf,3007
ffb,1823
cuu,1526
uff,13259
bff,4038
ufb,4695
fbf,2642
fbu,3767
uuc,33
cuc,513
uuu,76
ucc,112
ccc,49
ccu,16
ucu,40
