r-gram,Counts
ffu,23321
fuc,8478
ucu,132
cuu,1920
uuu,1773
uuc,2495
ucf,10810
cfu,43088
fuu,21810
cfb,8257
fbf,2570
bfc,15103
fcf,82757
cfc,54541
fcu,19598
cuf,15330
ufc,50338
cff,28399
ffc,23998
fcc,24729
ccf,20533
fuf,56735
ufb,4837
fbc,7373
bcf,20185
fub,20052
ubc,12040
fcb,16895
cbc,11646
bcb,4075
cbf,12325
bff,4509
ccc,1263
ufu,30489
uff,17298
fff,6181
uuf,21085
fbb,2520
bbf,1664
ffb,2888
ucb,2552
uub,5529
ccb,8194
cbb,559
bbu,458
buc,1328
buf,9812
cbu,7186
bcc,4172
fbu,4609
bfu,10177
bbc,1399
cub,5487
bbb,436
ubu,7340
buu,5379
bub,3074
ubf,14320
bcu,4026
bfb,1090
ccu,369
cuc,1388
ubb,442
ucc,195
