r-gram,Counts
ggdb,51
gdbd,24
dbda,6
bdad,4
dadf,289
adfg,638
dfgd,636
fgda,1231
gdae,147
daeg,65
aegi,322
egig,223
gige,173
igeg,1250
gegc,3833
egcd,621
gcdg,6479
cdgc,1003
dgcg,3942
gcgg,5831
cggf,927
ggfg,5440
gfgc,7782
fgcg,3761
gcge,2254
cgef,110
gefg,540
efgg,211
fggc,1810
ggcg,6404
gcgc,4237
cgcd,806
fgcb,2513
gcbg,10363
cbgc,1162
bgcg,637
gcgf,4097
cgfg,4352
gfga,7697
fgag,4873
gagi,1968
agic,1089
gicg,2475
icga,1415
cgai,1235
gaif,3309
aifg,2993
ifge,1108
fgei,1871
geif,1804
eifi,377
ifig,981
figg,240
igge,375
ggef,199
gcga,7515
cgag,5706
gagc,9022
agcb,3851
bgcb,275
gcbf,980
cbfg,853
bfgd,54
fgdg,3287
gdgd,1258
dgdg,2269
gdgc,4362
gcgd,3326
cgdg,2139
gdgg,1552
dgga,2267
ggag,10007
gaga,8466
agag,6402
gagg,7396
aggd,1244
ggdg,2569
cgga,1715
ggai,2498
gaib,378
aibg,89
ibga,15
bgag,812
aggg,1390
ggga,1259
gaie,1369
aieg,1170
iega,717
egag,2524
gdga,3841
dgad,1209
gadg,8226
adgc,3760
gcgi,1900
cgie,203
gieg,764
iegg,720
egga,2546
aggf,2488
cgcg,2145
cgii,716
giig,1501
iigg,319
igga,1408
aggi,745
ggie,230
dgca,521
gcag,2046
cagf,642
agfg,7565
gfgd,2898
dgag,5098
gagd,3464
agdg,2739
gdgf,3311
dgfg,5631
agcg,5463
cgfe,191
gfeg,2606
fegc,877
egcg,2944
gagf,5666
cgdf,43
gdfi,66
dfic,5
ficg,199
ggdf,103
cgeg,1758
gegb,110
egbg,86
gbga,27
aggc,1598
gege,1467
egeg,1942
gega,3264
dgcc,287
gccg,1539
ccgg,413
cggd,1366
ggdd,293
gddi,442
ddic,201
dicg,1241
dgcd,1577
cdgf,1441
dgfc,203
gfci,119
fcic,10
cicg,567
dgcb,2953
gcbi,4729
cbii,99
biid,2
iidf,2
idfg,27
dfga,149
fgad,1333
adgb,98
dgbe,65
gbeg,110
begc,9
gage,3578
agei,1713
geii,101
eiid,13
iidg,168
idga,977
dgci,336
gcie,392
cieg,213
iegb,30
egbf,1
gbfi,6
bfia,3
fiae,25
iaeg,266
aegc,192
