r-gram,Counts
cfu,100656
fuf,52931
ufu,41569
fuu,66705
uuf,61248
uub,20841
ubu,12710
buu,26690
uuc,16429
ucf,46628
cfc,133083
fck,19481
ckb,8650
kbc,2137
bcb,16668
cbu,31058
buc,12836
fcf,138032
cff,17309
ffc,13625
fcc,45411
ccb,12199
cbf,8169
bfc,32113
ccf,58092
ckc,17436
kcf,15584
cfb,53165
fbf,31941
bff,4078
ffu,10634
fub,17460
ufb,21402
ufc,84337
fuc,34897
fcb,50119
ucb,12555
cbc,43718
bck,8281
kcb,5879
bcf,45876
fbc,19387
cbb,14474
bbb,10132
bbf,14489
bfu,24770
bcc,24006
uuu,30877
ubf,6055
ccc,4924
ccu,1155
cuf,7478
ckf,3334
kfu,1959
bfb,5935
kfc,2343
uff,4828
fbb,14118
buf,24017
fbu,17452
ubc,20092
bub,7142
ubb,10537
ffb,2006
uuk,10422
ukb,3443
fcu,12458
cuc,3366
cku,15904
kuc,4855
ucc,2942
bcu,5279
cuu,7267
cuk,1423
ukf,1408
bbu,10913
kuu,8278
bbc,14776
uck,9962
uku,6879
fuk,7595
kcc,4234
cck,5147
kbb,1049
ukc,12558
kbf,6242
kck,2453
kuf,6463
buk,4114
kcu,1844
cub,1498
kbu,2666
kub,2453
fff,142
kuk,734
kfb,390
ucu,296
kff,50
cbk,1
bkb,1
