r-gram,Counts
fcf,95645
cfu,83108
fuf,67139
uff,12117
ffu,15186
fuc,19574
ucb,21990
cbc,79305
bcf,87477
ufu,53865
fub,56286
ubc,96053
bcb,41483
bcc,35146
ccb,34182
cbu,54867
buc,9821
ucf,12808
ufc,73724
fuu,16190
uuf,16981
cfc,121627
fcu,43309
cub,42835
cff,22507
bcu,26225
ubu,50224
buf,43857
fcc,40005
ccf,42827
ubb,6142
bbu,8882
buu,22745
ubf,12539
bfc,10971
bub,43136
ufb,6962
fbu,5586
uub,22701
fcb,48373
bfu,7030
bbc,8591
cfb,11515
cbf,6076
ffc,21010
ccc,6842
cuc,5569
cuf,18691
fbb,6948
uuu,1707
cuu,2440
fbc,6382
ucc,1859
fff,4172
cbb,5780
bbb,5287
uuc,1693
bbf,1397
bfb,405
fbf,903
bff,2509
ffb,937
ccu,1
