r-gram,Counts
ocf,15168
cfu,44143
fum,36896
umf,18130
mfu,11401
fuc,11647
ucm,23075
cmc,110400
mco,38693
cou,32028
ouo,18412
uou,27528
oum,27053
umc,105627
mcm,66568
mcc,43201
ccm,38288
cmu,61804
muc,9954
ucf,5666
fuf,7753
ufc,29788
fcf,17306
fuu,12704
uuf,8185
ufu,21722
mcf,44941
cfc,44421
fcm,35118
mcu,39895
cum,39626
cmf,8170
umu,54839
muf,19155
ccf,20136
uuo,7915
mfc,11318
fcu,10493
mum,61400
uff,1687
ffu,1880
uum,23582
muo,17295
uoc,34362
ocu,19146
muu,20462
coc,46111
fcc,15857
cco,18585
occ,16093
umm,6051
mmc,6706
ocm,28284
ouc,7794
fco,10572
ouf,9485
com,3600
omu,1192
uco,6057
fuo,12969
cff,3902
ffc,592
cfo,7521
foc,6073
ccc,6842
cuc,5569
cuo,9660
oco,16328
ffm,3302
fmc,7578
uuu,1707
ouu,5769
cuu,2440
cfm,3230
uof,3180
ofu,2823
fmu,5681
ufm,1584
cof,6701
ofc,3227
ucc,1859
umo,3910
mou,3103
cmm,6418
fou,4746
uoo,346
oou,1108
mmu,4750
fmf,1108
mfm,4624
cmo,4541
coo,1795
ooc,1827
cuf,12240
moc,6645
uuc,1693
mmm,434
fmo,629
mmf,1440
mfo,1763
ufo,2037
ofm,3276
mff,172
uom,835
omo,222
fom,395
omc,2988
foo,867
omf,430
ofo,1091
mmo,698
omm,105
fmm,1020
off,95
fof,413
ffo,82
mom,103
oom,4
mof,127
moo,22
fff,45
oof,91
ccu,1
