r-gram,Counts
fcm,79655
cmc,331070
mcc,154644
ccm,139077
ccf,97385
cfc,226945
ccc,61625
mcf,97750
mcm,104342
cmf,49820
mfc,28693
cco,87111
coc,224122
ocf,57048
cff,47276
ffo,4866
foc,13503
ocm,71751
fcc,100579
cof,31789
ofc,19799
fcf,66055
oco,47958
fco,63149
occ,68350
fff,7651
ffc,34000
cfm,37896
fmf,7545
mfm,15163
fmc,75007
mco,79336
ofm,8019
mff,12052
off,4408
com,17954
omc,16913
cfo,6121
ffm,24870
mfo,3635
cmm,10316
mmc,13082
omm,508
coo,3688
ooc,3450
fmm,2576
fof,1757
mmf,289
omf,1889
cmo,3619
moc,4032
fom,958
fmo,820
mom,283
ofo,1844
mof,280
oom,309
foo,248
moo,67
oof,244
omo,194
mmm,89
mmo,29
ooo,43
