r-gram,Counts
fum,32766
umu,46314
muu,60000
uum,51457
uuf,39888
ufc,45512
fcm,46889
cmu,75970
uuu,11799
uuc,15828
ucm,42336
cmc,133664
mcf,76026
cfc,72230
mcm,75054
cmf,27551
mfc,14801
mcc,54185
ccf,29950
cco,35938
coc,90551
ocf,39284
cff,32027
ffo,4866
fou,6873
oum,30099
umc,75122
cfu,72310
fuu,40854
uco,22770
cof,23901
ofu,8973
fuf,27110
ufu,36893
uuo,24503
uou,25251
ouo,12678
uoc,42773
oco,35280
cou,65547
muc,29708
fco,43048
occ,22061
ccm,39580
fuc,26552
fff,7651
ffc,18686
cfm,27508
fmf,7545
mfm,15163
fmc,45122
mco,57828
ofc,10826
muo,21508
ucf,23856
fmu,29885
fcf,38945
ofm,8019
ccc,10235
mff,12052
ffu,15314
ocm,41652
mcu,10751
cuo,3900
uof,7888
off,4408
ucc,4565
ouu,22558
mfu,13892
com,12067
omc,11251
fcc,27875
fuo,20101
umf,22269
ouc,17323
mum,29288
fcu,5298
cum,5704
muf,21724
ufm,10388
ccu,3218
cuu,8264
uff,15249
uom,5887
ouf,17764
ufo,2135
foc,6630
ffm,24870
cuf,3691
mfo,3635
ocu,6408
omu,5662
cuc,5916
cmm,5773
mmc,8685
omm,508
mmu,4397
coo,2797
ooc,2153
fmm,2576
umm,4543
fof,1757
oou,1297
mmf,289
omf,1889
cmo,2553
moc,2578
umo,1066
mou,1454
fom,958
fmo,820
mom,283
ofo,1844
cfo,3986
uoo,891
mof,280
ucu,1800
oom,309
foo,248
moo,67
oof,244
omo,194
mmm,89
mmo,29
ooo,43
