r-gram,Counts
cfc,160694
fcf,113717
fco,81999
cou,66945
ouf,57894
ufu,52619
fuo,36296
uof,16033
ofm,23225
fmc,76689
mcm,68641
cmo,9146
moc,13086
oco,105860
coc,163832
ocf,131389
fcm,56913
cmc,98267
mco,67181
oum,23539
umc,45409
mcf,104277
cfo,45613
foc,63831
ocm,54270
cmm,17972
mmu,6458
muf,77368
ufo,34629
cfu,85229
fcc,29170
ccf,34594
fum,26099
cmu,57360
ufc,104452
fuf,74572
mum,20167
umm,3703
mmf,5511
mfo,15548
fof,7364
cmf,8460
mfm,25652
coo,11373
ooc,12865
cff,17628
ffo,5534
occ,25700
cco,28218
cof,19499
off,6690
ffc,11523
oof,278
ofu,3660
uou,24625
oou,4264
uff,9693
ffu,6166
uoc,63627
uoo,2491
cfm,75465
fou,27261
fom,4792
omc,19062
mcc,19318
fmu,48335
mof,398
mou,5395
com,21613
ouo,36463
muu,12681
uuf,18204
umu,19138
muo,27607
fmf,23676
uom,3042
omf,3447
fmo,6159
ffm,13742
ufm,26666
foo,3642
fuu,10904
ccc,4581
fff,2314
ouu,10395
uum,6326
ccm,11376
mmc,19991
uuo,9450
omu,6637
ofo,5566
mom,370
umo,3568
fmm,9891
ofc,4431
umf,4313
omm,505
mff,2954
mfc,699
oom,221
moo,122
mfu,554
omo,387
mmm,142
mmo,111
ooo,7
ocu,22
cuf,21
muc,105
ucm,5
cuo,2
uco,5
ouc,199
ucf,651
mcu,1
fuc,357
