r-gram,Counts
ech,793
cha,10571
had,8475
adg,35439
dgf,14756
gfi,8897
fia,7904
iai,25335
aib,19902
ibi,10193
bia,7832
iad,10795
adh,3845
dhe,2868
heb,2021
ebg,5175
bgb,5883
gbg,26285
bgc,10451
gcg,53863
cgb,11831
bga,16564
gai,48402
aig,14274
ige,3712
geg,34271
egc,14038
cga,35287
gah,34602
ahh,357
hhe,351
heg,12923
ahb,3146
hbg,9154
bgd,14138
gdg,31635
dga,30762
aid,16542
ida,25017
dah,9143
ahg,5777
hgc,4078
cgi,10423
gid,4253
daf,6490
afi,7768
fig,1207
igc,4014
gch,23228
chg,5278
hga,4590
ahc,10846
hcc,1461
ccg,3192
cgc,14712
hai,19394
aia,26340
iaf,7611
afg,29413
fge,17732
egd,18666
dgb,9138
bge,9557
geb,8533
ebc,293
bcg,6533
hgb,2808
gbi,18779
bie,8897
ieg,23502
egi,6082
gih,17111
iha,8250
hab,2588
abi,3229
bid,14423
idd,1650
ddg,8952
dgc,15743
gci,12717
cid,5470
idg,11535
dgd,11249
chb,7098
hbe,620
bei,292
eib,2232
ibg,23333
iaa,5854
aag,4212
age,17729
geh,18626
ehb,4028
hbh,6502
bhb,6531
gde,3455
deg,6679
ega,24280
gaf,15035
fgc,15784
hgd,4581
gda,39502
dag,41664
agc,21182
chd,7336
hde,2815
iae,2950
aeg,5134
egb,11339
gbh,17113
bha,7683
bib,6558
ibf,4072
bfi,3388
igb,3073
bgf,6728
gfg,27034
fgd,15117
ahi,2233
hia,5000
aah,1547
iac,3897
acg,6279
cgf,7074
fga,25607
gad,29364
hah,4055
hcg,16183
agd,19353
che,5074
chi,2693
fib,8132
gca,4806
cah,779
ahf,4949
hfe,3120
feg,2816
egg,4806
ggb,5162
fid,4883
dai,26511
aif,9741
ifa,1979
fai,1789
idf,3600
dfg,8801
fgb,15285
gbe,2362
gag,58694
aga,36408
aii,13996
iia,7642
ibh,9132
bhf,3758
hfg,4472
gei,4833
bhi,2142
aei,5455
bhg,3576
ifh,3320
fhg,3436
hgf,3197
aha,14793
iig,3313
iga,13485
aaf,2656
fhc,2917
bgg,3942
ggd,8371
gcd,3259
cda,2702
ifg,12258
fgg,5019
bhd,6352
hdg,14681
gdh,16813
dhb,4732
cgg,11356
gbc,6551
bci,1706
cic,2840
icg,16056
cgd,18262
aie,14162
iei,4426
ibc,2508
iag,16653
agb,13712
dgi,7534
gig,3576
gdi,4356
did,2467
hag,12944
ahe,3809
hbf,4065
bfg,10656
hei,1490
bhc,5316
cif,2154
haf,8069
gef,6982
