r-gram,Counts
kcc,168293
ccc,73608
ccf,138571
cfc,260511
fcc,121871
fcf,49291
cfb,43219
fbc,34843
bcf,47544
cff,9603
ffk,438
fkc,30644
fck,92256
ckc,341485
kcf,111263
kck,76931
ckf,10695
kfc,10673
ckb,12174
kbc,10716
bck,52741
kcb,59060
cbc,145584
bcc,76175
cfk,33336
kbf,1420
bfc,12251
cck,157471
fcb,28573
ccb,70297
fkb,1251
kbk,1821
bkc,25760
cbk,16205
kfb,383
bcb,20504
bfk,638
cbb,5944
bbk,1436
ckk,15045
kkc,17657
cbf,10701
fbf,1296
bbf,492
bbc,5822
fkf,384
fbk,7590
ffc,8556
kkb,225
fbb,1578
fkk,2456
kfk,323
bfb,964
bkf,236
kbb,228
bkk,521
bff,56
ffb,741
bkb,535
kkk,148
kff,76
fff,90
bbb,153
kkf,140
