r-gram,Counts
occ,30734
cco,33000
coo,934
ooc,873
coc,73141
oco,20171
ocf,21733
cfc,100512
fcf,26609
cff,6421
ffc,8013
fcm,20268
cmc,92000
mcc,38517
ccc,12394
ccm,41728
ccf,43258
fco,20791
fff,869
fcc,48735
mcf,18847
mcm,32621
ocm,6474
cmo,1320
moc,1429
ffo,642
foc,3668
cfo,1786
mco,7809
cof,6498
ofc,3888
ffm,765
fmc,2910
cfm,1728
cmm,1738
mmc,1699
cmf,6033
mfc,3991
mfo,491
foo,23
fmo,206
ofo,863
off,1632
mff,1367
ofm,382
fmf,136
com,1198
omc,1185
mfm,395
fof,86
mof,97
oof,84
omf,18
mmf,57
fmm,18
ooo,2
fom,5
