r-gram,Counts
cg,151279
ga,166739
ai,82155
ia,63985
ad,57785
dg,105198
aa,29650
id,70019
da,87774
ae,12581
ei,31845
if,19246
fg,139361
gf,105719
fb,4230
bi,48883
dc,14317
gb,80905
bg,82504
gg,45681
ge,92155
eg,116130
gc,147132
cc,16060
ag,123574
ab,7027
gd,150623
df,24079
ac,9636
af,54947
fi,53910
ie,53152
eb,15493
ee,7363
ec,11508
fd,11445
be,5433
ib,49965
db,1210
de,16196
ig,81595
dd,24510
bf,16290
gi,56368
bb,3090
ii,44298
bc,10824
ci,44435
ic,32104
fc,9989
fe,5889
ca,13016
fa,12925
di,52470
cb,5481
ce,6135
cf,6123
cd,9041
ef,11345
ed,2110
ff,1359
bd,221
ea,3110
ba,156
