r-gram,Counts
coc,175489
ocm,59877
cmc,390552
mcc,182928
cco,80433
occ,74861
ccf,132586
cfc,297750
fcc,145308
ccc,125251
ccm,190078
mcf,110515
mcm,111781
cmo,13457
moc,12910
fcm,96712
mco,46268
fco,43462
coo,4395
ooc,4193
ocf,55841
oco,26088
cfo,18584
foc,24075
cff,29201
ffc,27616
cfm,31509
fmc,46483
cmf,47184
mfc,32634
fcf,78102
mfm,7834
cmm,7255
mmc,7525
mff,8283
cof,11109
ofc,5584
fom,881
omc,6933
mfo,3828
mof,966
off,3897
ffm,10547
com,5259
mom,638
foo,396
fof,1678
ffo,3218
fmf,5278
moo,251
fff,4573
fmo,1262
oof,645
ofm,3517
ofo,1400
mmm,25
oom,204
mmo,34
mmf,83
ooo,118
fmm,384
omo,12
omf,34
omm,3
