r-gram,Counts
cfu,181380
fub,62095
ubu,48118
buu,52983
uuf,99750
ufu,79434
fuu,100940
uub,37091
uuc,32061
ucb,31745
cbc,70278
bcf,86708
cfc,247296
fcc,83139
ccb,27774
cbu,55787
buc,23346
ucf,93059
fcf,219831
cff,28754
ffc,24373
ccf,89675
fuf,82783
fuc,71544
ffu,15839
uff,11853
buf,32063
fcb,85966
bcc,27442
ccc,15642
ufc,123680
fcu,36974
cuf,14176
ucc,10389
cbf,28510
bfu,40709
bfc,30562
bcb,33588
ffb,4044
fbc,12622
cbb,24498
bbu,15301
bbf,13045
cuc,13042
ucu,4800
ufb,13805
fbu,14798
cfb,31844
ubb,15875
bbc,13749
bub,25612
ubf,12814
bfb,6675
ubc,57818
bbb,2203
uuu,30817
fbf,27226
bcu,6729
fff,1425
cuu,14979
ccu,3521
cub,9827
bff,3649
fbb,1722
