r-gram,Counts
cou,45756
oum,22768
umu,68315
muu,73694
uuo,19232
uou,23797
ouu,22727
uuf,42073
ufu,35440
fuu,57502
uuc,32061
ucm,50626
cmc,128352
mcf,93469
cfc,115089
fcc,35864
ccf,38402
cfu,102252
fuc,36434
mcm,63518
cmo,6288
moc,7998
ocm,37109
fcm,54693
mcc,52662
ccm,51033
cmu,89159
muo,12300
ouc,21380
ucf,47053
fco,28594
coc,74133
muc,37076
uco,27125
coo,3135
oou,1553
ouf,14216
uoo,1260
ocf,41625
oco,18010
ufo,5940
foc,10924
ccc,15642
cco,28014
umc,104726
mcu,19496
cum,12883
mco,33968
occ,22055
cff,21023
ffc,12343
ucc,10389
cfm,24648
fmu,25720
cmf,29305
mfc,14412
fcf,55107
mfm,7834
fmc,20763
cmm,3875
mmu,3389
cfo,12644
uff,8178
uum,75536
mff,8283
ffu,15273
cuc,13042
ucu,4800
cuo,6062
uof,3068
ofu,2631
muf,17046
ufc,44969
ufm,6861
fom,881
omc,5137
fum,42019
umf,17879
mfu,18222
mum,48263
uuu,30817
mfo,3828
fou,13151
uoc,31803
fuf,22995
mof,966
fuo,14868
umo,7169
mou,4912
cof,8041
off,3897
ffm,10547
com,4647
ooc,2640
mom,638
omu,1796
cuf,5058
foo,396
cuu,14979
ccu,3521
fof,1678
ffo,3218
fmf,5278
moo,251
fff,4573
ocu,8699
fcu,15508
fmo,1262
ouo,8078
ofc,2953
oof,645
ofm,3517
uom,612
ofo,1400
mmm,25
mmc,4136
umm,3380
oom,204
mmo,34
mmf,83
ooo,118
fmm,384
omo,12
omf,34
omm,3
