r-gram,Counts
fcc,213147
cck,162445
ckc,316434
kcc,158027
kcf,76836
cfc,322433
ccf,226385
ccc,97016
ccb,152156
cbc,230162
bck,47873
fck,100697
kck,29196
ckf,7897
kfc,7211
ckb,15443
kbb,3691
bbc,32876
bcb,24937
cbb,30166
bcc,169812
fcf,76241
cbf,27799
bfc,31963
kcb,60600
kbf,5358
bcf,38552
cfb,12266
fbc,11455
fcb,53017
cff,81210
ffc,81494
ckk,437
kkc,495
fff,4660
cfk,2105
fkc,2842
bbk,1518
bkc,4888
fbb,2151
kbc,6682
cbk,2583
bkf,208
ffb,5447
fbf,3823
bff,6019
bbf,1614
kff,515
ffk,803
bbb,1287
bkb,348
bkk,53
fbk,1281
bfb,524
bfk,88
kfb,473
kbk,115
fkb,55
fkk,5
kfk,6
fkf,100
