r-gram,Counts
fcc,104688
ccm,350123
cmc,564899
mcc,320747
mcf,64736
cfc,135617
ccc,97016
mcm,189579
cmo,6014
moc,6230
occ,115551
mco,36895
coc,168513
cmf,94061
mfo,3951
foc,25928
ocf,25445
cff,17111
ffc,18573
cco,108775
ccf,82088
cfm,26671
fmc,34740
ocm,50493
oco,10460
com,3589
omc,4004
fcm,83193
mfc,79778
fcf,28092
cfo,20962
fco,19056
cmm,8414
mmc,8315
omf,87
mfm,11205
ffm,3959
ffo,1383
fmm,647
mff,6616
fff,2025
mmf,742
coo,1099
ooc,1278
mmm,11
fmf,6660
fmo,359
cof,1985
ofc,1060
fom,431
off,188
fof,383
ofm,571
ofo,603
mom,68
mof,48
foo,157
moo,32
oof,6
mmo,5
oom,4
omm,1
