r-gram,Counts
fcu,53633
cuk,30196
uku,27265
kuc,18785
uck,23660
ckc,176080
kcf,55427
cfc,143070
cuf,37650
ufu,24902
fuu,41121
uuc,19155
ucb,41553
cbu,56289
buk,14107
kuf,21409
ufc,80029
fck,76403
kck,25129
fcc,84956
cck,81345
ckf,6366
kfc,5417
cfu,74432
ckb,12661
kbb,3691
bbu,12621
bub,10556
ubb,11100
buu,25687
uuf,36848
ccf,91620
fuf,21418
cbc,112770
bcc,65684
ccb,65233
buc,29151
cbf,15765
bfc,24843
kcb,46842
bck,33766
kcc,84498
kbf,5358
bfu,7120
fuk,24294
ukc,68194
buf,14833
ufb,3503
fbc,7734
fcb,37090
cff,57858
ffu,27949
uuk,27244
uub,20446
ubc,41741
ffc,53545
ucf,60267
fcf,54823
cub,24924
bcb,14381
cbb,19066
uuu,9391
bcf,23719
uff,23352
ukk,136
kkc,472
cku,44895
kuk,4067
kuu,15358
kcu,39386
kub,13758
bcu,49290
ubf,12034
cuu,21527
ukb,2782
fff,4660
bbc,20255
cfk,1733
fkc,2664
ccu,1032
cuc,29049
ccc,12765
fuc,33437
bbk,1518
bkc,3872
ucc,4092
cfb,8763
fbb,2151
fub,15927
kbu,2341
ubk,1374
bkf,208
ukf,1531
ffb,5447
fbf,3823
ubu,19362
kbc,4341
fbu,3721
cbk,1209
bku,1016
bff,6019
bbf,1614
ckk,301
kff,515
ufk,372
kfu,1794
ffk,803
bbb,1287
bkb,348
bkk,53
fbk,1281
bfb,524
bfk,88
kfb,473
kbk,115
fku,178
fkb,55
ucu,5
fkk,5
kfk,6
fkf,100
kku,23
