r-gram,Counts
gcdha,2877
cdhab,447
dhabh,364
habhe,173
abheg,445
bhegc,493
hegcd,122
egcdg,358
gcdgd,305
cdgda,629
dgdae,1041
gdaei,962
daeia,121
aeiah,111
eiahd,57
iahdg,610
ahdgc,538
hdgch,654
dgchf,743
gchfh,511
chfhc,495
hfhcg,1113
fhcgc,2452
hcgcb,3024
cgcbh,2835
gcbhg,421
cbhgf,387
bhgfb,366
hgfbh,504
gfbhe,1154
fbheh,648
bhehc,600
hehcg,692
ehcga,1047
hcgaa,655
cgaab,70
gaabh,87
aabhg,9
abhgf,115
gfbhi,819
fbhii,379
bhiid,346
hiidi,39
iidii,108
idiid,149
diida,117
iidag,552
idagc,884
dagcf,92
agcfg,352
gcfgd,497
cfgdg,210
fgdgc,656
gdgcb,534
dgcbh,1311
gcbhe,1738
cbheg,1314
bhegd,414
hegda,1433
egdae,419
daeic,951
aeice,707
eicei,2208
iceia,842
ceiae,357
eiaei,784
iaeig,53
aeige,4
eigeb,3
igebh,17
gebhb,152
ebhbi,111
bhbie,101
hbieh,130
biehc,469
iehcb,513
ehcbh,2176
hcbhi,905
cbhig,1002
bhiga,413
higah,467
igahf,638
gahfc,193
ahfci,305
hfcid,382
fcidg,54
cidgi,33
idgie,16
dgieh,49
giehf,475
iehfb,921
ehfbh,884
hfbhi,214
fbhig,520
cidgf,153
idgfi,69
dgfid,112
gfidh,48
fidhc,390
idhcb,201
dhcbg,918
hcbga,567
cbgah,222
bgahb,30
gahbg,180
ahbgg,131
hbggd,120
bggda,178
ggdah,1319
gdahf,2929
dahfc,404
ahfcg,694
hfcgd,210
fcgda,120
cgdai,127
gdaic,627
daice,405
aiceg,704
icegg,1667
cegge,1104
eggei,434
ggeia,221
geiaf,41
eiafg,178
iafga,299
afgah,1579
fgahf,655
gahff,139
ahffg,161
hffgd,209
ffgda,271
fgdae,985
gdaeg,992
daegg,449
aeggc,2610
eggcg,1544
ggcgc,1025
gcgca,641
cgcai,712
gcaic,1132
caici,193
aicii,160
iciid,314
ciidh,94
iidhf,83
idhff,14
dhffg,24
fgdad,388
gdadh,258
dadha,275
adhab,233
bhegf,800
hegfe,351
egfei,385
gfeib,133
feibg,59
eibgc,465
ibgcd,167
bgcdg,280
gcdgg,1274
cdggc,313
dggcg,765
ggcga,1217
gcgaa,294
cgaah,677
gaahh,43
aahhc,43
ahhcb,16
hhcbg,17
hcbgg,1362
cbggb,399
bggbh,1080
ggbhf,1169
gbhfh,572
bhfha,878
hfhah,869
fhahd,237
hahdd,19
ahddg,317
hddgg,563
ddggb,333
dggbg,560
ggbgc,807
gbgca,679
bgcah,370
gcahd,569
cahdh,183
ahdhc,495
hdhcd,85
dhcdh,121
hcdha,1324
cdhaf,833
dhafg,817
hafgd,1280
afgda,2700
fgdag,1062
