r-gram,Counts
gc,165293
ce,31198
eh,88616
hb,28134
bg,71134
gb,45875
cg,64301
cb,78465
bi,51508
ib,31108
ba,8972
ai,67856
ig,97128
gg,115849
ga,82161
ag,58570
be,37903
hd,47875
dg,125598
ge,70392
hc,48176
eg,94496
gh,27604
di,55995
ii,54126
ie,64274
ei,25090
gi,43935
ia,39872
ad,38300
ic,53802
bb,11678
ac,6253
ch,20058
ha,29618
gd,73404
ee,25540
da,33363
eb,13963
bc,7293
ci,38009
bh,20893
hi,60344
ah,43607
he,22102
bd,23692
bf,4611
fg,31659
ae,14791
gf,38997
ef,1550
hf,24288
if,20731
fb,14952
ab,8373
dd,9961
ec,7973
ih,23504
dh,34927
ca,34287
ed,18926
af,5155
hg,4774
ea,7133
db,5136
cd,27564
id,30993
de,7369
aa,10346
fd,9115
fe,9718
fh,6102
df,3371
fa,7499
fc,3000
dc,4110
fi,18675
cc,4801
ff,537
cf,2017
hh,35
