r-gram,Counts
fcc,258617
cck,103580
ckc,165281
kcf,71644
cfc,304529
fcf,98033
ccb,110395
cbc,154345
bcc,122779
cbf,58365
bff,19685
fff,5653
ffc,97262
fck,54044
ccc,103820
ccf,221120
cfk,18566
fkc,17459
kcb,52371
cbb,34788
bbc,37999
bcb,28940
bfc,69599
cfb,32192
fbc,24211
bcf,54961
bck,34100
cff,90471
fcb,65427
kcc,53699
fbf,11347
ckb,45560
kbb,10836
fkb,9057
cbk,9635
bkc,17442
kck,22479
bkb,5703
kbk,6806
kbf,18477
bbb,4336
fkf,1083
kfc,4731
bfb,3792
bfk,4052
kbc,24225
ffk,4984
fbk,4211
bbf,8939
ffb,7950
fbb,4166
ckf,3335
bbk,2852
bkf,356
kff,40
ckk,27
kkc,11
kfk,2
bkk,3
kkb,24
fkk,5
kfb,1
