r-gram,Counts
fcc,150372
ccm,190015
cmc,266700
mcf,58717
cfc,173468
fcf,65377
cco,103369
coc,183987
occ,154075
ccf,141711
cff,48348
ffm,7893
fmf,20927
mfc,70972
mcm,78301
mco,58290
ccc,103820
cfm,44281
fmc,52101
cfo,26438
foc,38078
ocf,26730
ffc,62699
fco,65777
cof,64403
ofc,56504
cmf,94190
ocm,25610
mcc,130648
fff,11078
mfm,15285
cmm,11291
mmc,7151
mmf,5734
mfo,14287
fcm,82118
ffo,5014
fof,11193
fmo,1277
moc,5291
mff,20308
oco,21079
ofm,8678
ofo,3552
off,6950
fmm,1832
mmo,238
cmo,3863
coo,119
ooc,138
mof,87
oof,1
foo,20
com,6
omc,5
omf,1
mmm,5
