r-gram,Counts
fcc,133267
cck,54738
ckc,58886
kcf,40584
cfc,106948
fcf,58405
ccb,42487
cbc,61591
bcu,35808
cub,38982
ubf,27367
bff,19685
fff,5653
ffu,40781
fuf,39628
ufc,106312
cku,47344
kuf,31060
fck,31729
ccc,39412
ccf,94763
cfk,14879
fku,8840
kub,23305
ubb,21116
bbc,26751
bcb,17887
cbf,30998
bfc,46149
cfb,19748
fbu,11540
buu,15693
uub,21080
ubc,52256
bcf,34562
cbu,21523
buc,11439
uck,12082
bck,21819
bcc,59839
uff,28596
fub,29431
cfu,58140
kuu,10009
uuf,36977
ufb,12444
fbf,11347
bfu,23450
ckb,27099
kbb,10836
bbu,11248
buk,12281
ukc,43802
cuf,56104
fuc,20602
ucf,33276
fkc,8619
cff,61875
fkb,9057
ufu,33129
ffc,56481
fuu,43589
kcb,29066
fcb,35996
cbk,5498
bkc,11388
kck,15301
kuk,7178
uku,15249
uuc,9937
kcu,16383
fcu,61159
cuu,12400
ubk,4137
bkb,5703
kbk,6806
cuk,23063
ukb,18461
kbf,18477
fuk,22315
kcc,21366
bbb,4336
cuc,6639
ufk,3687
fkf,1083
kfc,4666
ccu,23799
kuc,5941
ucb,7846
ubu,18975
bfb,3792
buf,20399
uuk,13697
cbb,13672
bfk,4052
kbc,16646
fbc,12671
ffk,4984
kbu,7579
fbk,4211
bbf,8939
uuu,10279
bku,6054
ffb,7950
bub,11053
fbb,4166
ckf,2316
ukf,1019
bbk,2852
ucc,1315
bkf,356
kff,40
ucu,39
kfu,65
ckk,24
kku,6
kkc,5
kfk,2
ukk,3
bkk,3
kkb,24
fkk,5
kfb,1
