r-gram,Counts
fccm,24321
ccmc,33475
cmcf,14339
mcfc,11243
cfcf,8666
fcfc,13324
cfcc,12421
fcco,15742
ccoc,20386
cocu,8145
ocuf,7835
cuff,6235
uffm,2127
ffmf,1928
fmfu,4593
mfuf,5389
fufc,12818
ufcc,20556
ccmu,29465
cmum,14381
mumc,15089
umcm,19746
mcmc,28820
cmco,16484
mcoc,26081
cocc,47486
occc,24816
cccf,7932
ccfm,10007
cfmu,5615
fmuo,3165
muoc,13239
uocc,33705
fmuf,3125
mufo,2427
ufoc,7792
focf,2716
ocff,3275
cffc,13576
ffco,5778
fcof,9093
cofu,17799
ofuu,5050
fuum,7174
uumc,10244
umco,13162
cccm,21624
ccmf,22525
cmfc,18901
mfco,8041
fcoc,21333
ccco,7337
ccou,13786
couc,8313
oucm,5382
ucmu,7500
cmuf,16349
focm,3058
ocmu,2023
cmuo,12723
occm,25347
mumf,5972
umfu,9760
mfuo,5314
fuoc,20414
mcfu,5978
cfuo,5201
cmuu,11533
muuf,8063
uuff,4194
ufff,3095
fffu,2382
ffuo,3745
occo,15389
occf,18523
ccfc,14686
cmfm,6643
mfmu,3879
fmum,3853
ocum,9336
cumc,24107
umcc,17459
mccm,19299
cmuc,6526
mucm,6517
ucmm,2158
cmmc,1845
mmcf,676
cfco,7660
ofuo,8080
ccmm,5487
cmmf,4223
mmfo,2143
mfoc,9325
focc,15230
ccof,16820
mcof,7010
ofuc,2966
fuco,3287
ucou,4432
couf,6439
oufu,1784
ufuf,6790
fufo,2771
cofc,15576
ofcf,4038
fuuf,8456
uufm,4429
ufmc,8089
fmcc,9420
mcou,3550
mccc,5913
fucm,7562
ucmf,8902
cmfo,6191
uufu,5150
ufum,7343
fumc,23532
ccff,8543
ffcc,12708
fccf,14569
cmcm,24696
fcfm,5759
cfmc,12185
fmcm,6257
mcmu,11397
mumu,5250
umuu,5160
muuc,1864
uucm,4635
mcfo,3206
cfou,2753
foum,1430
oumc,4502
cmcu,25142
mcuf,19265
cufc,25567
cfcu,8627
fcuu,2572
cuuo,2581
uuoc,11860
mufu,6001
ufuc,2758
fucf,2993
ucfc,4053
ofcc,6714
umcu,15166
cufm,4559
mfcc,12037
mcuo,7114
cuoc,12030
umcf,11941
mcff,6701
cffu,7010
ffuu,8501
ufmf,7622
fmfm,1762
mfmc,8299
mcuu,6625
cuuf,3883
cmcc,21162
ccfu,11858
cfuf,8246
focu,5670
cumf,12943
umfo,3343
cuum,3403
umum,6064
mccf,8206
cocm,7332
ocmc,10590
mcum,13508
mcmf,9279
fmcu,8851
uffo,1561
ffoc,3253
ocuc,1865
cucm,2873
cmfu,14752
ucmc,8348
cfof,2965
fofc,4019
ofco,5419
