r-gram,Counts
gfbid,263
fbidg,203
bidgd,229
idgdf,11
dgdfh,2
gdfhg,4
dfhgi,1
fhgii,1
hgiic,4
giici,594
iicif,1543
icifa,123
cifag,138
ifagg,46
fagge,159
aggeg,935
ggegb,162
gegbi,218
egbig,97
gbigc,317
bigcg,352
igcgg,671
gcggi,281
cggig,606
ggigc,152
gigcg,676
cggif,17
ggifg,789
gifga,635
ifgag,1354
fgagd,856
gagdg,1518
agdgi,79
gdgig,230
dgiga,285
gigag,1514
igagf,640
gagfi,1018
agfig,320
gfigd,279
figdi,51
igdig,109
gdiga,402
digag,402
igagc,789
gagcg,1404
agcgb,296
gcgbi,745
cgbid,204
gbidi,162
bidif,92
idifg,260
difgd,201
ifgdg,671
fgdgb,820
gdgbi,1078
dgbie,98
gbiei,19
bieid,18
ieidg,15
eidga,6
idgag,527
dgagg,428
gaggf,933
aggfi,264
ggfig,147
gfigi,176
figii,23
igiic,182
icifg,1300
cifge,103
ifgeg,559
fgegg,192
geggc,222
eggcd,16
ggcdh,1
gcdhf,1
cdhfi,1
dhfii,1
hfiid,1
fiide,3
iideg,18
idega,175
degag,216
egaga,238
gagai,705
agaid,346
gaidi,313
aidif,79
idifi,104
difig,16
ifigi,17
cifga,735
ifgaf,52
fgafg,154
gafgd,1967
afgdd,89
fgddg,218
gddgb,161
ddgbi,170
gbieg,331
biegf,87
iegfb,31
egfbi,109
fbidi,45
bidig,61
idige,20
digeg,76
igegf,220
gegfb,120
fbidd,12
biddg,46
iddgg,111
ddggi,92
dggig,119
ggigi,318
gigii,283
icifc,70
cifcg,44
ifcgb,31
fcgbg,108
cgbgg,191
gbgga,294
bggae,7
ggaeg,22
gaegf,50
aegfb,16
fgdgg,427
gdggi,423
iciff,67
ciffg,296
iffgd,212
ffgdi,101
fgdia,126
gdiag,495
diagd,183
iagde,29
agdeg,180
gdegf,171
degfb,53
bidga,287
dgagc,340
gbidg,916
idgda,451
dgdai,377
gdaig,792
daigi,84
aigii,101
ifcgc,63
fcgcg,123
cgcga,497
gcgag,1319
cgagd,504
gagde,89
gagge,337
ggega,147
gegad,123
egadi,60
gadig,409
adiga,169
agcgc,650
gcgcg,1885
agdga,476
gdgad,546
dgadd,83
gaddg,415
addgg,135
ddggd,304
dggdd,195
ggddg,731
gddgg,567
ddggh,7
dgghd,6
gghda,7
ghdai,18
hdaii,13
daiig,128
aiigd,105
iigdg,178
igdgg,570
gdggd,1195
dggdi,377
ggdic,197
gdicc,107
diccg,270
iccga,170
ccgag,431
agdgc,579
gdgcg,943
dgcgc,347
cgagg,765
aggei,71
ggeig,17
geigi,8
eigii,7
dgbif,141
gbifg,550
bifgi,21
ifgia,33
fgiai,19
giaid,18
iaide,5
aideg,29
egage,45
gageg,443
agegd,112
gegdg,240
egdgf,107
gdgfg,879
dgfgi,144
gfgig,749
fgigd,145
gigdg,595
gdggf,315
dggfg,201
ggfgd,479
gfgdi,382
diagb,90
iagbi,173
agbie,91
biegg,55
ieggb,67
eggbe,28
ggbeg,219
gbega,42
begag,62
egagd,271
gagda,954
agdai,361
daigc,149
aigch,13
igchc,46
gchcb,178
chcbg,429
hcbgd,53
cbgdg,431
bgdgc,222
gdgcb,549
dgcbg,1276
gcbgd,1001
cbgdi,165
bgdii,73
gdiic,190
diici,221
ifagb,34
fagbg,56
agbgf,147
gbgfg,550
bgfgi,209
gfgia,63
iaidg,148
aidgi,159
idgig,263
dgigf,120
gigfg,447
igfgd,275
gdegg,162
deggb,82
eggbc,89
ggbcg,478
gbcgd,241
bcgdf,2
cgdfg,70
gdfgi,23
dfgia,4
aidgg,214
idggf,148
dggff,38
ggffe,24
gffeg,18
ffega,2
fegag,267
agdac,121
gdacg,949
dacgd,222
acgdf,5
aidga,313
ggfif,166
gfifg,343
fifgb,38
ifgbi,209
fgbig,218
gbigi,90
bigii,54
gagdf,83
agdfg,142
egadd,43
ccgaa,9
cgaag,73
gaagg,307
aaggc,49
aggcg,468
ggcga,272
afgde,93
fgdeg,504
eggba,187
ggbai,218
gbaib,70
baibi,93
aibic,137
ibicg,236
bicgb,234
icgbi,181
cgbia,305
gbiag,1398
biagg,509
iagge,126
ggegg,133
geggf,142
eggff,39
ggffg,187
gffgd,704
ffgda,366
fgdag,1394
gdaga,1237
dagag,705
agagg,659
gagga,630
aggag,470
ggagg,542
aggaa,79
ggaai,30
gaaig,51
aaige,9
aigeg,147
igegc,124
gegcg,220
egcgd,48
gcgdi,450
cgdii,141
gdiif,100
diifg,39
iifga,167
ifgad,485
fgadi,223
adigc,86
digch,13
bgdig,169
gdigi,89
digii,42
daige,42
igega,129
gegag,541
egagc,227
gagcc,347
agccg,732
gccgc,528
ccgcg,206
gcgad,355
cgadi,87
adige,17
gegai,119
egaib,28
gaibi,534
aibia,85
ibiag,147
biagc,251
iagcg,305
gagdc,256
agdcg,639
gdcgf,124
dcgfg,92
cgfga,448
gfgad,587
adigi,33
bggad,151
ggadg,571
gadgg,349
adggd,264
dggdg,564
ggdgg,347
dggif,290
gifgi,127
ifgig,431
fgigi,96
afgdc,409
fgdcg,489
gdcgd,203
dcgda,70
cgdaa,185
gdaag,1137
daagf,182
aagfb,23
agfbg,313
gfbga,264
fbgai,116
bgaid,104
gaidg,504
aidgf,173
idgfi,131
dgfig,122
figdf,5
igdfi,4
gdfid,10
dfidg,4
fidgd,95
idgdg,282
dgdgc,153
dgcga,275
gcgaa,57
gaagc,207
aagcb,21
agcbe,4
gcbeg,95
cbegb,15
begba,3
egbag,185
gbagg,628
baggc,75
ggcgb,78
gcgbe,68
cgbeg,141
gbegf,219
begfi,159
egfig,519
gfiga,459
figai,169
igaib,359
gaibc,105
aibcg,115
ibcgf,43
bcgff,35
cgffg,319
gffge,78
ffgeg,91
fgegf,237
gegfi,359
figdc,9
igdcg,49
gdcgc,552
dcgcb,484
cgcbg,1705
dgcgi,142
gcgic,167
cgicc,17
giccg,119
iccgc,153
ccgcb,257
gcbgf,350
cbgfg,266
bgfga,244
gfgag,1554
fgagb,288
gagbg,844
agbgi,243
gbgig,562
bgigf,131
gigfb,203
igfbg,306
gfbgc,203
fbgcg,272
bgcgg,290
gcgga,374
cggag,290
aggfg,1119
ggfgi,367
fgigc,179
gigch,41
cbgdc,82
bgdcg,229
gdcgg,840
dcggf,473
cggfg,912
gfgda,949
gdagd,1415
dagde,40
agdeh,34
gdehf,7
dehfd,1
ehfdi,3
hfdib,1
fdibg,2
dibgd,25
ibgdg,292
bgdgf,261
gdgfi,409
figda,109
igdaf,12
gdafi,41
dafid,52
afida,79
fidai,184
idaid,301
daidg,869
aidgc,150
idgcg,314
cbegg,31
beggb,71
ggbag,896
ggcgc,382
cgcgc,490
gcgcb,905
gfbgi,196
fbgig,242
bgige,53
gigeg,336
igaig,465
gaigb,413
aigbc,42
igbcg,81
gbcgf,97
bgigi,98
gifgd,170
cgaai,25
gaaif,52
aaifc,26
aifcg,206
ifcgd,87
fcgda,484
cgdag,1386
gdagg,1072
dagge,168
bidgb,257
idgba,164
dgbag,812
bagge,117
ggegf,334
gegfg,488
egfgi,151
iaidd,14
aiddg,130
ddggf,94
dggfi,152
gfifb,24
fifbg,17
ifbgc,141
bgcga,173
geggd,127
eggda,68
ggdaa,362
daagd,305
aagdg,210
agdgd,482
gdgda,1226
dgdag,683
gdagb,715
dagbi,479
agbic,438
gbicg,1480
bicgg,442
icggb,230
cggbd,189
ggbdg,372
gbdgg,431
bdgga,126
dggai,138
ggaib,64
gaibg,417
aibgg,56
ibggb,67
bggbi,236
ggbia,527
ggegi,71
gegig,84
egigg,12
giggd,362
iggda,126
ggdag,1055
daggb,248
aggbi,365
ggbif,232
gbifb,37
bifbi,44
ifbic,52
fbicg,72
icgbe,10
begfb,27
fbida,74
bidag,182
idaga,272
dagad,234
agada,247
gadag,1025
adagg,431
aidgd,453
idgde,20
dgdeg,46
bidai,84
idgad,210
dgadc,73
gadcg,381
adcgf,40
cgfgi,148
agbga,380
gbgag,1072
bgaga,260
gagad,593
agadd,58
gaddi,40
addif,25
ddifa,12
difae,4
ifaeg,22
faegf,23
bidad,24
idadi,19
dadif,41
adifg,69
difgc,262
ifgcg,1175
fgcge,42
gcgeg,229
cgegf,151
bidge,35
idgeg,141
dgegf,106
egfga,340
fgadg,796
gadgc,577
adgcg,304
gfige,41
figeg,75
igegg,171
gegga,94
eggad,35
dgcge,34
dgcgg,230
gcggd,444
cggdg,373
ggdgf,366
gdgfc,288
dgfcg,415
gfcgc,149
fcgcb,74
cgcba,349
gcbag,390
cbagd,95
bagdg,257
agdgb,669
dgbig,457
ifagc,47
fagcg,68
cgcgg,411
gcggb,844
cggba,565
ddgga,113
dggac,28
ggacg,298
gacgb,192
acgbe,10
agadg,641
gadgb,816
adgbc,141
dgbcg,518
gbcgg,474
bcggb,248
cggbi,539
ggbig,399
gbige,98
bigeg,124
gadga,647
adgad,71
dgadg,389
adgba,198
gfigg,163
figgd,46
iggdg,233
figgf,16
