r-gram,Counts
ocf,105050
cfc,291008
fcc,147005
cco,187622
coc,351556
ocm,80129
cmf,62192
mff,2827
fff,1962
ffc,22677
fco,115214
oco,95522
cof,72066
ofc,52448
cfo,37067
foc,57889
com,25585
omc,25803
mcf,78782
fof,8616
fcf,96676
cfm,44405
fmf,5540
mfo,7299
ofo,18558
fcm,65430
mfc,58193
cmc,243926
mcc,146077
occ,143411
off,3343
ccm,126416
ccf,122455
cff,30483
mcm,51419
ffo,9114
fmc,55228
mco,56268
ffm,4862
cmm,8313
mmc,7589
fom,3206
ofm,8551
coo,5419
oof,1309
cmo,8963
moc,8155
ooc,6511
mfm,3668
omf,3232
mmf,1023
foo,2327
ccc,3166
mof,909
mom,277
fmo,449
moo,76
omo,5
fmm,269
omm,30
oom,2
