r-gram,Counts
fcb,77890
cbu,31375
buu,24445
uuf,110208
ufc,242523
cbf,35055
bfb,6510
fbb,15532
bbc,18142
bcf,64792
cfc,190256
fcf,228702
cfu,162504
fuf,236773
uff,69301
ffc,63551
bfc,41102
cfb,30358
fbc,27683
cff,52949
ffb,5046
fbu,12494
buf,44513
ufb,46982
bbf,8247
bfu,51858
ufu,148836
fub,61595
ubf,29962
fbf,33187
ffu,60634
ubc,51814
fcu,121541
cuf,116148
fcc,109300
ccf,115037
bcu,27265
cub,29721
bcc,21720
bub,17999
uub,17129
fuu,100539
ubu,30818
bff,6981
fff,7543
ubb,13850
fuc,24925
ucb,4727
buc,6758
ucf,27536
cbc,28364
bbu,19029
cbb,16036
bcb,12226
ccb,15987
bbb,4408
uuu,18
cuu,2523
cuc,416
ccc,32
uuc,170
ucc,5
ucu,1
ccu,1
