r-gram,Counts
gfidd,205
fiddg,305
iddgf,174
ddgfi,220
dgfig,596
gfigi,262
figii,74
igiic,433
giicg,2485
iicgf,5237
icgfg,5859
cgfga,1680
gfgag,4206
fgagg,2376
gagge,2760
aggeg,4361
ggegc,2388
gegci,533
egcig,329
gcigc,3366
cigcg,2071
igcgc,4457
gcgci,7941
cgcig,3460
igcgi,432
gcgif,3074
cgifg,3238
gifgg,591
ifggi,97
fggia,79
ggiag,322
giagi,726
iagii,1011
agiig,311
giiga,472
iigag,1445
igagd,2020
gagdi,1110
agdig,484
gdigi,169
digig,187
igiga,680
gigag,5556
igagc,3809
gagcg,14172
agcgg,3872
gcggd,3756
cggdi,582
ggdif,147
gdifg,1140
difgd,328
ifgdg,2796
fgdge,622
gdgeg,3379
dgegb,104
gegbg,985
egbgc,709
gbgca,2976
bgcag,2966
gcagf,7459
cagff,1457
agffg,4528
gffgi,7524
ffgig,3238
fgigi,525
gigii,1112
cgfgc,3672
gfgcd,1747
fgcdg,4337
gcdgc,12834
cdgca,2426
dgcag,9538
cagfg,3465
agfga,2186
gfgai,2103
fgaig,1131
gaige,803
aigeg,1497
igega,2437
gegag,3719
egagc,1048
gagca,4759
agcag,7075
cgfgd,1735
gfgdg,3735
fgdgc,4921
gdgci,11155
dgcig,8236
gciga,4209
cigai,1540
igaif,1561
gaifa,1869
aifai,873
ifaic,846
faice,24
aiceg,246
icegf,553
cegfa,970
egfag,2494
gfagi,1866
fagid,209
agidi,294
gidig,320
idige,142
digeg,423
igegf,671
gegfa,1345
agida,378
gidai,572
idaif,333
daifg,350
aifgi,474
ifgig,567
gfgcg,4418
fgcga,1314
gcgag,12894
cgagg,3635
gagga,7573
aggag,11972
ggage,1290
gageg,5886
agegf,2032
gidif,53
idifg,241
dgegi,164
gegig,420
egigi,74
cgfgg,1987
gfggf,538
fggfi,214
ggfia,206
gfiag,671
fiage,143
iageg,1561
fagib,165
agibg,838
gibgc,605
ibgca,819
gcagc,9202
cagcg,3842
gcggb,1040
cggbg,1677
ggbgd,591
gbgda,524
bgdag,1552
gdagi,4555
dagig,3329
agigi,852
fgaia,909
gaiad,1161
aiadi,559
iadig,215
adige,66
gcagg,7439
cagge,1115
ggega,2703
gegad,4631
egadg,5372
gadgi,2399
adgig,1485
dgiga,2093
ggbgc,5961
gbgcd,1219
bgcdg,1605
dgcai,2895
gcaia,1242
caiad,139
adigg,46
diggg,16
iggga,221
gggad,95
ggadg,3283
gigai,2906
gaifg,4456
aifgg,764
ifggd,601
fggda,1975
ggdai,1067
gdaii,295
daiig,162
aiiga,682
iigai,577
ifggc,387
fggci,528
ggcig,1545
cigcd,271
igcdg,3254
cdgcc,1316
dgccg,6350
gccgg,4442
ccggc,1063
cggcg,1199
ggcgc,3613
gcgca,9072
cgcag,10528
ggegi,231
faica,265
aicag,3001
icagg,1797
gegce,176
egceg,252
gcegd,1230
cegde,71
egdei,26
gdeid,43
deide,1
eideg,3
idega,20
degag,117
gagce,489
agceg,1103
gcegf,2458
cegfg,802
egfgf,277
gfgff,1542
fgffg,3918
gffgg,3861
ffggf,809
fiagc,321
iagcg,3490
agcgc,9850
gcgce,1298
cgceg,1409
gcegb,167
cegbg,180
egbga,158
gbgae,132
bgaeg,138
gaegd,309
aegdg,181
egdgd,520
gdgda,2740
dgdag,3602
fgaga,2502
gagag,13197
agaga,4610
agagg,5117
gdeib,10
deibg,10
eibgc,17
ibgci,369
bgcig,940
gcigg,1508
ciggf,345
iggfi,347
agegb,83
gbgai,394
bgaii,96
gaiia,1092
aiiaa,590
iiaag,2634
iaagi,808
aagif,478
agifg,3162
gifge,1643
ifgeg,3958
fgega,3588
gegaa,3494
egaag,2943
gaagg,1810
aagge,188
ibgcg,320
bgcgf,530
gcgff,3671
cgffg,5372
gffge,1364
ffgeg,808
fgegd,659
gegdg,2190
dagii,1068
agiia,1698
giiaa,1510
fgiga,1624
igaga,3267
agagd,4321
gagda,3821
agdai,1407
gdaig,1613
daigc,554
aigcg,2802
gcigi,1325
cigii,575
igegd,735
gegde,139
ggcia,538
gciai,843
ciaig,757
iaigc,527
igaia,1021
gaiai,1519
aiaic,1104
iaica,1186
aicai,801
icaia,303
caiai,512
aiaia,343
iaiae,11
aiaeg,49
iaegb,13
aegbg,57
aagie,261
agieg,428
giega,1545
iegaa,911
gegcg,2569
egcgf,234
ffggd,1054
ggdag,5877
gdagc,10846
dagca,1645
cagga,3244
ggagc,5856
gagcc,4113
agccg,7466
gccgc,11899
ccgcg,5842
cgcga,4624
cgaga,2809
gagai,5056
agaig,2547
gegai,2433
egaif,421
aifgc,1287
ifgcg,2008
cgage,801
agegc,1442
cigag,3401
adiga,119
digai,312
igaig,989
igegc,420
gegcc,765
egccg,780
gccga,6820
ccgad,936
cgadg,4442
igagg,3555
gccgd,5702
ccgdg,2098
cgdgc,5219
gdgce,927
dgceg,1388
bgaif,68
aifge,1697
egaai,1492
gaaia,539
aaiai,231
icaic,489
caicg,2236
aicga,1040
icgad,848
gadgc,9702
adgca,1970
adigc,71
digcg,359
igcgf,939
gcgfg,4104
gfgad,1331
fgadg,3197
dgigi,629
ggagd,4323
gagdg,12515
agdgi,1770
gdgif,1205
dgifg,2515
gifgd,1864
gagde,319
agdeg,232
gdega,152
degai,33
egaic,282
gaicc,1782
aiccg,3445
iccge,19
ccgeg,260
cgegd,357
egdgc,1130
gdgca,6922
cagfi,1376
agfii,1519
gfiid,165
fiidi,75
iidii,270
idiig,266
diigi,84
iigii,149
igiia,599
iaaga,716
aagag,1325
agage,1458
agega,4851
gadgg,2752
adggc,659
dggcg,1092
gcagi,2953
cagig,827
agigd,2319
gigdg,6873
igdgb,375
gdgbg,1560
dgbgf,512
gbgfc,342
bgfcg,375
gfcga,408
fcgai,269
cgaig,1771
gaiga,2376
aigag,4562
igagi,1698
gagii,1908
iaagf,366
aagfg,638
agfgi,987
gfgig,2051
fgigg,561
giggc,733
iggcd,195
ggcdg,2805
cdgci,5440
dgcia,2814
gciag,5380
ciagc,2482
iagca,832
cagca,1724
gcage,1308
cageg,1391
gegac,1861
egacg,1996
gacgc,2449
acgca,429
gffgd,8800
ffgdg,6418
fgdgb,523
gfcgi,134
fcgii,41
cgiid,181
giidd,489
iiddg,860
iddgc,929
ddgcg,2764
dgcgb,316
gcgbg,1675
cgbgc,702
gcdgg,3998
cdggc,668
cgcic,4138
gcici,1632
cicig,446
iciga,460
gcgcc,3434
cgccg,6204
ccgai,1676
cgaii,827
aiiag,593
iiage,393
agegd,1953
iagci,1269
agcig,2934
agcai,2781
gcaig,6029
caige,319
gadgb,263
adgbg,246
cgcif,1847
gcifg,2233
cifgi,136
egiga,145
ciaif,143
iaifc,38
aifcg,1315
ifcgd,348
fcgda,760
cgdag,5889
gdagg,4133
dagge,246
ifaia,354
faiae,15
iaegf,121
aegfi,118
egfia,142
gfiaa,36
fiaag,244
iaagg,836
gdeia,56
deiag,8
eiagc,73
agcgf,2042
gcgfi,1229
cgfia,158
ggegg,433
geggg,138
egggd,29
gggda,94
gigif,304
igifa,103
gifai,634
faiac,30
aiacg,121
iacgc,698
acgcg,758
cgcgf,1874
gcgfa,1329
cgfag,2132
gfagg,2080
faggc,615
aggcg,2475
ggcgi,481
gcgid,176
cgidi,44
idiga,443
digag,839
agcgd,3201
gcgdd,1676
cgddg,4027
gddgg,1415
ddggg,262
dggga,499
gggai,342
ggaii,261
gaiig,1100
geggi,199
eggig,189
ggige,123
gigei,125
igeii,116
geiid,78
eiidg,135
iidgg,179
idggi,51
dggig,504
ggigi,172
egfig,1313
gfigc,1468
figcg,580
igcga,1845
eibgf,8
ibgff,295
bgffg,1209
gffga,7614
ffgag,5359
gaggd,3479
aggda,1694
dagcg,4663
gddgc,5665
dgcgc,11557
cgcii,1175
gciic,1961
ciicg,2205
gagad,3164
agadg,3991
gadgd,2643
adgdi,128
dgdif,379
gdifa,198
difag,252
ifage,330
fageg,960
gegfi,854
gfigd,1155
figdi,45
igdif,359
difgc,770
ifgcc,1664
fgccg,6150
ccgce,229
cegfi,641
egfic,76
gficd,332
ficdg,428
icdgf,1166
cdgff,3628
dgffg,17410
ffgad,682
adgcg,5117
gaggc,3489
gcgcg,12234
cgcgg,2549
gcgga,2538
cggag,3019
agdga,3939
gdgag,9839
dgaga,3661
gagdb,1133
agdbg,2372
gdbga,826
dbgai,94
bgaig,265
gaigi,490
aigii,291
fgagc,3300
caggd,1174
ccgca,3277
fgigd,1616
igdgf,2345
gdgff,10319
egigg,67
giggg,238
gggag,1806
ggagi,2324
gagig,3495
agigg,956
giggf,507
gfica,203
ficag,166
icagc,2079
cggda,1900
ggcic,757
gcicg,2351
cicgf,514
icgfi,164
cgfig,1195
figda,561
igdag,2852
gcige,1492
cigeg,1511
gegfg,1779
egfgd,479
gfgda,3848
fgdag,6113
gdaga,6394
dagae,29
agaeg,116
gaegb,45
gbgag,908
bgagf,236
gagfg,5999
agfge,663
gfgeg,1829
fgegg,751
eggif,22
ggifg,1008
gifgc,3377
ifgca,1535
fgcai,2477
gcaii,2322
caiig,1086
aiigi,220
iigig,322
igigf,417
gigfg,1316
igfgc,757
gfgca,3669
fgcag,4440
gcaga,6732
cagag,4955
gagaf,204
agafg,222
gafgc,134
afgcc,53
fgcci,1098
gccia,2674
cciac,123
ciacg,833
cgfgf,563
gfgfi,100
fgfig,42
difga,493
ifgac,288
fgacg,434
gacgf,213
acgfg,120
fggfg,3358
ggfgg,1487
gfggc,1973
fggcg,1481
ggcga,1300
gcgai,4240
cggdg,3655
ggdga,4508
gdgaf,262
dgafg,350
gafga,497
afgai,150
fgaie,120
gaieg,955
aiega,1160
iegae,197
egaeg,691
gdgdd,478
dgddg,1481
gddge,512
ddgeg,530
dgegf,854
dgega,3162
egagf,528
cciaa,214
ciaai,441
iaaic,170
aaica,198
cagcf,202
agcfg,845
gcfgi,419
cfgig,109
fgigc,989
gigcd,508
gdgad,1601
dgadg,2736
gadge,992
adgeg,941
egaga,1019
fgdgi,1030
gdgic,1046
dgicg,677
gicgd,524
icgdg,1333
gdgcg,13941
dgcgd,2756
gcgdg,7203
cigci,550
igcif,359
gcifa,494
cifag,330
ifagd,410
fagdg,1531
agdgb,455
gfcgf,188
fcgff,138
fgdga,2733
gdgai,3494
dgaig,2246
gaigf,824
aigfg,850
igfgd,803
agagi,1981
agiga,2580
ggaga,4177
agagc,7489
gfgce,499
fgceg,763
gfgcc,2024
cciaf,19
ciafg,172
iafgd,126
afgdg,298
gagac,153
agacg,291
ggcie,62
gcieg,492
ciegb,1
iegbg,6
egbgd,127
igaii,456
iiaga,1421
iagai,2320
agaic,3001
iccgg,1171
ccggf,823
cggfg,1281
ggfge,302
agfig,1728
gfigg,545
figgf,71
iggfg,577
gaigc,2748
cgagf,2034
gcgad,2351
adggf,513
dggfg,1052
gcgaa,1512
cgaai,897
gaaic,763
agcga,7305
igagf,2620
