r-gram,Counts
iaic,948
aici,1439
icid,961
cidc,91
idci,194
dcib,122
cibi,571
ibig,1336
biga,1275
igae,645
gaeg,9900
aegg,2164
eggf,4969
ggfg,5039
gfgd,4482
fgdi,2587
gdig,3145
dige,1592
igeg,5233
gegf,8794
egfg,8671
gfga,9172
fgag,13629
gage,24721
agef,4274
gefg,6479
efga,2829
ageg,10179
gega,16133
egag,12664
gaga,9458
agag,6970
gagd,5611
agdi,2525
gdie,2889
diec,588
iecg,1286
ecge,1416
cgeg,5180
gegb,6593
egbg,6825
gbgf,2708
bgfg,2854
gfgg,3294
fgge,1036
ggeg,6124
gbga,5381
bgag,4883
gagc,4204
agcg,3587
gcgb,2429
cgbe,519
gbee,84
beeg,164
eegf,1247
fgdg,6086
gdge,9848
dged,1274
gedg,4938
edgd,672
dgdb,1489
gdbh,1357
dbhf,662
bhfg,8085
hfgb,822
fgbg,3437
gbgc,2382
bgcg,2655
gcgf,3152
cgfg,4786
fgda,995
gdae,1657
daeg,1745
aegb,2902
egbh,3521
gbhb,1359
bhbi,1525
hbig,1954
bigd,688
igdh,703
gdhc,510
dhci,218
hcie,911
cieg,3607
iega,3644
egai,8523
gaib,3499
aibh,763
ibhd,980
bhdg,3513
hdgb,844
dgbg,2611
gbge,7293
bgei,4140
geib,3120
eibi,884
bigb,1060
igbg,3123
bgah,315
gahf,1043
ahfg,1719
hfgf,357
fgfg,2236
gfgc,3737
fgci,2070
gcig,5071
cige,3815
iged,662
gedi,1707
edig,313
digg,461
iggf,1509
gfgf,2291
edgb,519
dgbi,1307
gbig,1992
bige,989
egah,870
gagb,5030
agbi,1488
gbic,1673
bicg,2427
icgb,1008
cgbi,1016
igdg,3860
gdga,10883
dgag,9595
igeb,1188
gebg,3809
ebge,1694
bgeg,7626
egaf,1954
gafg,4699
afga,1600
gbeb,55
bebi,50
ebig,939
bigg,1181
igga,1314
ggaf,384
afgf,492
igee,750
geei,2528
eeie,665
eieg,5883
iegg,1485
fgaf,767
gbec,32
becg,64
ecgg,364
cggg,353
gggd,359
ggdg,3553
gdgg,2110
dggf,1395
fgga,2525
ggag,6291
gegg,4184
gcga,4328
cgag,4597
agdh,1717
gdhd,374
dhdg,346
hdgf,709
dgfh,861
gfha,1801
fhae,1052
haeh,197
aehc,763
ehci,1056
hcig,1312
igei,2120
geie,4998
eieb,1613
iebi,885
gagf,6683
agfg,6016
cgai,2299
aibg,3416
ibgi,201
bgia,183
giae,786
iaef,908
aefg,881
efge,2173
fgei,4862
agfd,1262
gfdg,2695
fdga,962
eibg,2853
ibge,2928
afge,2281
geig,7292
eigb,2671
igbi,1083
gdgf,5008
dgfg,3776
fgai,4281
ibgg,1080
bggg,373
gggf,1545
ggfd,1611
gfge,9414
geia,5360
eiag,4279
iagd,1873
gdia,2307
diai,1050
iaib,1421
bhdi,1298
hdib,473
dibh,598
ibhf,1555
hfga,4200
ibgb,840
bgbg,1910
dgbh,1440
gbhf,3765
bggd,509
ggdh,617
gdhf,1560
dhfg,2380
hfgd,1418
agdg,5757
gdgb,2998
ibgd,2331
bgdi,2496
digf,902
igfg,2920
gfhd,1640
fhdh,306
hdhb,120
dhbi,223
hbie,143
biei,372
ieie,1809
hfge,3136
dibg,1729
igfd,368
gfdh,1791
fdhe,940
dheg,3552
hegd,1318
egdi,2525
gdib,2093
dibf,917
ibfa,97
bfai,115
faic,300
aicg,3299
icgd,1596
cgdg,3014
dgff,132
gffi,256
ffig,48
figg,415
ggah,540
ahfh,547
hfhd,264
fhdg,2869
hdga,2346
dgaa,1090
gaag,1715
aage,958
gegd,7703
egdg,9106
gdgd,4646
dgdh,707
fgfh,376
fgcg,5572
cgbg,1948
geic,2443
eicg,1907
icge,2218
cgeb,596
gebi,1846
gahd,603
ahdh,429
hdhf,362
hfgg,2482
gbia,1762
biag,1087
iagg,1644
aggb,1713
ggbi,1216
agea,3742
geae,842
eaei,515
aeib,1250
bgge,816
ggeb,157
gebh,3197
ebhf,1786
fgeg,9322
gege,13032
egeb,1497
bgeb,1365
fgeb,1583
geba,169
ebai,99
baie,140
aiea,4029
ieai,1975
eaib,396
fgdh,566
hcid,461
cidb,53
idbg,408
dbge,352
gebe,395
ebed,30
bede,5
edeg,268
degg,2877
egga,2098
ggai,2723
gaig,4313
aigb,1583
bici,467
icib,928
cibg,1239
bgde,1862
gdeg,4463
eggd,1278
dhfi,867
hfif,491
fifg,481
ifge,3732
egda,4827
gdag,4872
dagd,1346
dggi,101
ggii,140
giii,63
iiic,42
iicg,366
icgf,2062
fged,1075
gedh,1126
edhc,132
cidd,34
iddg,584
ddge,245
dgef,2542
egdh,1173
iddh,80
ddhf,85
hfid,262
fidi,347
idic,528
dicg,1338
cgda,821
ebeb,184
ebic,859
eggg,754
gggg,209
gggi,52
agdb,220
gdbi,238
dbig,60
haei,1582
aeig,1332
eige,3172
eigc,1200
igce,249
gcei,709
ceie,337
fggb,1556
ggbg,2821
gcgc,2756
cgcg,2628
gcge,6203
ebif,671
bifg,3132
ifga,2431
gbgd,4552
igfa,231
gfai,1978
faie,767
aied,1361
iedg,1417
edga,2057
egfh,1550
gfhe,1276
fhei,1834
heie,2201
iebg,1913
afgc,780
gcgg,1716
cgga,781
hdhd,140
dhdi,583
hdig,875
digb,558
bgdg,4533
gdgc,3240
dgci,2860
gcia,2732
ciai,1038
iaie,3098
aiec,1458
cgea,853
geag,6309
eagf,1538
gaia,6606
aiaf,1798
iafg,2501
eiee,742
ieeg,2321
gegc,4652
egcg,4167
fdge,840
dgee,2899
geeb,419
eebh,250
hfgc,1491
aieg,3269
gfgb,3367
gbgb,1779
bgbe,410
gbei,1641
beif,146
eifg,2593
ifgc,1223
cgef,286
gefh,2132
efha,866
fhaf,150
hafg,394
afgb,1015
fgbe,1313
geai,4173
eaie,1479
ieae,372
eaeg,735
aege,3210
egeg,13475
gbgi,449
bgie,240
giei,927
iegf,2265
fgah,338
gaha,1076
ahag,1754
hagf,1076
gbgg,1410
bggf,874
dgai,4346
gaid,3258
aidg,3808
idgf,1707
aigf,935
igfb,213
gfbi,641
