r-gram,Counts
bubcb,1593
ubcbu,2625
bcbuc,1951
cbucb,2365
bucbc,1919
ucbcb,1011
cbcbf,2375
bcbfu,1361
cbfuc,599
bfucf,681
fucff,4638
ucffc,4683
cffcf,7471
ffcfu,6424
fcfub,12433
cfubf,3408
fubfc,3329
ubfcf,2860
bfcfc,5923
fcfcf,33346
cfcfu,27310
fcfuf,21647
cfufc,33831
fufcc,20847
ufccf,22644
fccfu,14582
ccfuf,10957
fufcf,16093
ufcfu,12456
cfufu,14867
fufub,5998
ufubu,4128
fubub,2498
ububc,2792
bubcc,2424
ubccf,6481
bccfc,7328
ccfcf,14689
cfcfc,43304
cfcff,5287
fcffc,5752
ffcfc,6636
ufcfc,19099
fcfcc,13780
cfccc,1838
fcccf,1773
cccfc,1288
fufcu,7165
ufcuf,7255
fcufu,5827
cufuc,1641
ufuck,1600
fuckc,2131
uckcf,1948
ckcfc,13315
kcfcf,8528
fcfuu,6081
cfuuc,2195
fuucf,1877
uucfc,1448
ucfck,2093
cfckc,7202
fckcb,5643
ckcbf,4757
kcbfu,1251
cbfuk,852
bfukc,866
fukcb,1832
ukcbc,3345
kcbcf,4849
cbcfu,10334
bcfub,5125
cfubc,14293
fubck,1578
ubcku,1555
bckuf,3310
ckufc,7495
kufcf,3694
fcfcb,16250
cfcbc,17214
fcbcb,5372
bcbfc,2131
cbfcf,7448
bfcfu,4594
fcfuk,1656
cfukc,2716
fukcf,3598
ukcfc,4239
cfcbf,8801
fcbfc,9938
cbfcu,1813
bfcub,836
fcubf,1213
cubff,336
ubffc,721
bffcf,1135
bfcuf,1378
fcufc,11213
cufcb,2634
ufcbf,4331
fufcb,8607
ufcbc,8023
fcbcf,13028
cbcfc,17256
bcfcb,7788
fcbfu,3396
cbfuf,4622
bfufu,1703
fufuf,11684
ufufc,13887
cbfcc,3207
bfccf,2517
fccfc,25356
fcfuc,9016
cfucf,12075
fucfu,7299
ucfuf,6546
fcccb,776
cccbf,201
ccbff,655
cbffu,1174
bffuc,219
ffucf,1423
fucfc,8811
ucfcf,7996
bfccb,1256
fccbc,6927
ccbcf,5493
cbcff,2246
bcffc,2344
cccff,127
ccffb,162
cffbu,312
ffbuf,172
fbuff,285
buffc,1675
uffcf,4894
ffcff,983
fcffu,2718
cffub,1778
ffubu,1762
ububf,865
bubfc,1306
bfcff,820
ffubc,1947
fubcf,8153
ubcfu,6748
cfubu,7962
fubuk,1209
ubuku,949
bukuf,997
ukufc,2198
kufck,497
ufcku,2928
fckuc,1266
ckuck,194
kuckc,197
uckcb,1860
kcbfc,2941
cbfcb,3132
bfcbc,2325
fcbcc,5568
cbccb,2609
bccbf,987
ccbfc,2710
ufcff,2509
cffuf,4387
ffufc,4280
ubcfb,656
bcfbu,650
cfbuc,579
fbucc,174
buccf,1342
uccfc,1336
ccfcb,7078
bcfuf,7916
cufuf,3476
bcfcf,13350
ucfcb,4460
bfcbf,969
bfufc,4407
ubcff,1170
bcfff,404
cfffc,1660
fffcu,389
ffcuf,1643
cfcbu,11003
fcbuf,7737
cbufu,5923
bufub,2477
bubck,966
bckub,1902
ckubc,4137
kubck,371
ubckc,1927
bckcf,4388
ckcfu,8453
kcfub,3190
ubcfc,10097
ufckc,4484
fckcf,8622
bcffu,1012
cffuk,517
ffukc,726
ukcfu,3750
kcfuf,6316
fubuf,6133
ubufc,7852
bufcb,3853
fcbff,1159
ubfcb,1272
bfcbu,1480
cbuff,1395
fckuk,1006
ckukc,1867
kukcb,870
kcbcb,1915
cbcbc,5413
bcbcc,2781
kcfcb,3478
kubcf,2317
ubfcu,725
bfcuk,412
fcukc,3360
cukcf,2771
fubcc,6440
ubccu,496
bccub,297
ccubc,446
cubcb,1738
bcbuf,3250
cbufc,11061
bufcc,5994
ufccb,5126
fccbf,3300
bffuk,149
fukck,721
ukcku,1011
kckuf,1193
ckufu,4472
kufuu,339
ufuuf,1888
fuufc,4300
uufcf,2854
fufuk,1364
ufukc,1884
cfcku,4922
fckuf,4926
bcfcc,5017
cfccb,7608
cfuku,1423
fukuk,782
ukukc,1287
kukcf,1902
ukcff,2129
kcffu,1925
ufcbu,5289
uffcb,1776
ffcbf,956
ufcuc,1030
fcucb,1004
cucbc,638
ucbcf,3075
cffcc,3563
ffcck,1172
fcckc,7977
cckcf,7240
cfccf,15881
ccfcc,7030
cfcck,5443
kcfcc,3024
cfccu,826
fccub,467
cubcu,1792
ubcub,2501
bcubc,1621
cubck,450
kcfuk,297
ukcbu,1792
kcbuc,1091
cbucf,4834
bucfc,5879
fcccu,50
cccuc,8
ccucf,66
cucff,299
ucffu,916
ffubf,317
bcbcf,4357
bcfuc,3987
cfuuf,5425
fuufu,2872
uufuf,1840
ufuff,1803
fuffb,130
uffbb,31
ffbbb,19
fbbbc,31
bbbcf,149
bbcfc,2015
fcfcu,6983
cfcuk,1971
cukcb,1515
kcbuu,163
cbuuf,1557
buufc,1980
uufcc,1935
bufcf,7403
fcfck,4674
cbuuk,210
buukc,272
uukcb,523
kcbub,1366
cbubc,6380
bubcf,4346
bcfuu,1712
fcccc,120
ccccb,37
cccbc,643
ccbcb,2176
ucfff,359
cffff,160
ffffb,1
fffbb,15
uufuc,992
ufucb,2344
fucbf,1105
ucbfc,1068
ufcbb,942
fcbbu,1137
cbbuf,978
bbuff,208
ckucb,1413
kucbf,209
ccbcc,1392
fcubc,6351
ubcuf,4020
bcufu,1676
ckcbc,6878
kcbcc,1677
cbccf,6905
ffuku,325
ukuku,375
kukub,263
ukubf,195
kubfc,907
fcbub,4931
ccfcu,4413
cfcuf,8780
cufcf,5625
fubuc,3857
ubucf,4460
cufcc,4854
ufccc,1350
fccck,859
ccckc,783
cubcf,2753
fccku,5628
cckuc,875
ckucf,1605
kucfc,979
ucfcc,2745
cfcub,4939
ubcuc,1098
bcucf,802
cucfc,1504
cfcfb,2008
fcfbc,1882
cfbcb,1453
fbcbc,1054
bcfck,2002
kucfu,814
ucfuk,615
fukuf,1679
fcfff,878
cufub,2133
ubfcc,1288
ufcub,4840
cfffu,626
fffub,244
fubcu,4567
kufuc,2063
ufucf,7005
ffccb,1512
fcbuc,4739
cffcu,2367
ffcub,1143
cbcbu,4205
bcfuk,784
bcbcu,1052
cbcuf,2300
bcufc,4018
ccfub,5573
ccbfu,1785
fccbu,4812
ccbub,1696
cbubf,1007
bubfu,599
ubfub,1490
bfubc,1984
bufuk,641
kcfcu,1527
cufuk,546
bcbuu,370
fcucf,1875
ucffb,78
fbufu,1026
cfbcf,2020
fbcfc,2001
bubfb,136
ubfbf,187
bfbfu,411
fbfuf,489
ufubc,6154
bcfcu,3286
bucfu,3269
ccfuk,799
fckub,3402
ckubu,3071
kubub,611
ffccf,3624
fcbuk,968
cbukc,1479
bukcb,1214
cfufb,1364
fufbc,1092
ufbcf,979
fuucu,19
uucuk,4
ucukc,208
ufufu,7095
fcbck,3704
cbckc,4249
ufcuk,1847
fufbu,874
ufbuk,95
fbukc,271
ufcck,6039
cbucc,1628
bucck,352
uccku,334
cckub,2353
kubcc,1251
ubccb,2781
bccbu,1877
ccbuf,3080
bufuf,4354
fubfu,1560
ufbuf,801
fbufc,1765
bufcu,3278
fcubu,3734
cubuc,1373
uufcu,1231
fcbuu,1133
cffcb,2736
ffcbc,2490
kucff,208
fffcf,819
cckcb,4371
kcbff,866
cbffc,1829
bffcu,357
ffcuc,401
fubfb,195
ffcbu,1722
cubuf,2278
fufck,3729
cbcub,1354
bcubu,1008
ufccu,428
kcbuf,1992
fuffu,2213
uffuf,2352
fucku,979
uckub,670
kubuc,840
cccfb,61
ccfbb,126
cfbbb,37
bbcff,185
cccfu,1295
buuku,105
uukuk,69
buccb,1230
uccbc,618
ukufu,1323
kufuk,255
ufcfb,1605
fcfbb,232
fbbbu,51
bbbub,81
bbubf,173
ubfbu,205
bfbub,101
fbubu,416
bubuc,1286
ubucc,1108
ucckc,561
kcfck,1002
kcbcu,591
cfcuu,232
fcuub,158
cuubc,216
uubcc,687
bccbc,2815
ffufu,2506
fufuc,5370
kufcb,2205
fucfb,450
ucfbu,463
cfbuf,1825
ufubf,1432
ccbcu,977
fccuf,703
ccufc,743
fuffc,4140
uffcu,817
ffcuk,733
cukck,602
kckub,681
cbcck,2433
bccku,1843
kubuu,444
ubuub,861
buubc,969
uubcf,1102
kufub,1143
ubuuf,2265
buufu,1583
uufub,948
ubfuf,1553
ufcuu,889
cuubu,93
uubuk,77
ubukc,977
cffbc,278
ffbcf,184
fbcfu,1141
cufcu,2847
fcbcu,2407
cbcuu,866
bcuuk,513
cuukc,642
uukcf,680
bfuff,663
ccfuu,1702
uucfu,850
ucfub,2666
bubcu,1634
fcfbu,1441
fccff,3471
ccffc,3285
cfubb,3324
fubbc,2291
ubbcb,859
bbcbc,947
ccfck,2508
bccfu,4931
cbfub,2278
bcckc,3209
bfcck,1116
cbubu,3523
ckcff,1408
kcffc,1233
ckcbb,800
kcbbc,557
cbbcf,1433
bbcfu,1279
cfucc,749
fuccf,1192
bfucb,263
fucbu,3340
ucbuf,2809
cbufb,489
bufbc,443
fccbb,480
ccbbc,406
bufck,1689
cbcbb,540
bcbbf,133
cbbff,47
bbffc,136
cccck,117
cccku,620
kubuf,1747
ubufu,4001
bufuu,900
ffccc,305
cfcbb,2036
fcbbc,1877
ucfcu,1327
cbfck,3188
bfckc,2821
bufuc,3338
ufucc,1411
fuccc,22
ucccf,12
cfuck,1311
ffufb,232
ufbub,404
fbubc,981
ckuff,2415
kuffc,2310
uffck,1061
ffckf,20
fckfc,95
ckfcf,119
kfcfc,71
cfbuk,245
fbuku,113
bukuc,123
ukucb,460
kucbc,749
ucbcc,1796
cckuk,843
ckuku,806
kukuf,555
ukuff,985
cfucb,4872
fucbc,3324
fckcc,512
ckccf,762
kccfc,410
fuuck,286
uuckc,190
bbufu,749
ffcku,1067
bcbbc,594
cbbck,653
bbckc,1206
ucfuc,1687
cubcc,2219
ubcck,2428
cckuf,4320
kufcu,1340
ubccc,835
bcccf,834
ccccf,152
ufbcb,552
bcubf,1123
cubfu,823
ubcbf,1535
cfuff,3320
uffub,1616
bukub,412
ukubu,718
cufck,1161
ckcbu,3060
kcbuk,241
bukcf,1448
fufbb,138
ufbbc,104
fbbcb,177
bbcbf,299
ubbcf,1684
fffcb,428
fbucb,205
bucbu,1466
ucbub,1313
bubub,1264
fubcb,3648
ubcbc,3798
cucfu,1014
kufcc,1957
bccff,1398
fubuu,1589
fufuu,1771
ufuub,1241
fuubf,495
uubfu,422
fcuff,1560
cuffu,845
ubuck,567
buckc,1073
fcuuf,523
cuufc,960
cubfc,1275
cbbcc,518
bbccb,193
fffcc,811
fubbb,288
ubbbu,167
bbbuc,68
bbuck,114
bucku,628
uckuf,853
bffuf,765
ffuff,974
uffcc,1712
bckcb,2763
bcbcb,2059
ububu,1773
bucff,610
cffck,1160
ffckc,1475
cccuf,53
ccuff,104
bcbff,480
fubbf,890
ubbfc,801
bbfcb,210
ubbck,1303
bbcku,883
kcbck,1191
bffcb,421
ccbck,1212
ukckc,1212
kckcb,858
cfffb,39
fffbc,14
ffbcb,148
cbcfb,966
buffu,1051
cbucu,1235
bucub,626
ucubc,517
ffbbu,45
fbbub,96
bbubc,793
