r-gram,Counts
fbc,15098
bcc,72803
cck,57066
ckc,178886
kcc,88839
ccb,68559
cbc,132209
bck,38124
kcf,78740
cfc,278024
fcb,55229
ccf,153530
cfk,27974
fkc,28224
fck,76039
bcf,34879
fcc,117513
ccc,36919
fkf,1608
kfc,14786
fkk,505
kkc,6866
bcb,8072
fcf,86410
cff,34905
ffc,32875
kck,31351
kcb,29675
ckf,14618
cfb,12656
cbk,14288
bkc,14629
ckk,6292
cbf,11109
bff,407
cbb,3929
bbk,174
bfc,9506
ckb,2783
kbc,2625
kff,289
bkb,62
ffb,1622
kfb,1033
fff,5372
bfk,1076
bbc,3946
bfb,560
ffk,1104
fbk,313
bkk,175
kfk,484
bbf,206
fbb,335
bkf,297
kbk,388
kbf,108
fkb,301
kkf,69
kbb,62
kkb,37
bbb,30
fbf,126
kkk,10
