r-gram,Counts
ofc,13410
fcu,26302
cum,26257
umc,61138
mcu,45014
umu,21914
mum,24976
muo,15945
uoc,30687
ocf,51450
cfu,73908
fuc,29375
uco,15170
com,2737
omc,4479
cuo,13155
ocm,29655
cmc,134633
mco,34568
coc,64149
fuu,22381
uuf,15545
ufc,49734
fcf,21751
cfc,59856
cuc,14978
ucc,8532
ccf,39474
cfm,31276
fmo,1436
moc,12738
fmm,1244
mmc,12068
mcm,67480
cmu,55394
muc,23700
ucf,25594
fcm,47762
coo,1424
ooc,1493
fcc,27133
fmc,27114
fum,23433
mcc,49396
ccm,44382
oco,11643
cuu,2032
uum,10962
cfo,9597
foc,16349
ucm,28142
cco,21935
cuf,30614
fuo,7446
ocu,11567
mcf,42974
fmu,9624
muf,20038
cou,21070
ouo,2474
ouu,5467
ufo,9998
occ,21101
muu,7474
ufm,10102
cmo,9466
uuc,2922
ouc,10245
umm,4749
fco,13169
uof,4581
ucu,3782
oum,8707
uou,7331
cmm,10485
umo,4476
uff,2106
fff,266
ffu,1798
cof,7105
ufu,9305
fou,2610
ouf,6259
ccc,4220
fuf,8789
uuo,7925
mmu,4125
mmo,415
uom,3466
omu,1076
uoo,880
cff,6606
ffc,5745
cmf,7442
mfc,7372
mfo,226
mmm,438
fmf,5001
mfu,5767
oof,508
mof,1510
umf,2058
mfm,1336
mou,1834
ffo,157
ofu,646
fof,1000
ffm,1389
omo,323
ofo,56
ccu,371
uuu,82
off,277
mmf,211
foo,5
fom,70
omm,341
oou,307
ofm,316
moo,4
mff,100
mom,30
oom,5
omf,89
