r-gram,Counts
oco,7641
coc,54870
ocu,20826
cuo,21571
uoc,28731
cuf,20204
ufu,17608
fuc,37431
ucm,64430
cmu,75770
muu,35703
uuf,36055
ufc,63536
fcm,71190
cmc,228037
mcf,61780
cfc,103129
fcu,83721
cum,48577
umc,115399
mcc,116575
ccm,90953
cmf,11283
mfc,14529
cuc,51735
ucf,52981
cfm,6898
fmc,9757
mco,36595
occ,18935
ccf,48657
cfu,74685
fuu,46954
umu,26659
muc,28342
uco,54586
cuu,45958
uum,48782
umo,3000
mof,4280
ofu,31725
mcu,81582
fum,21193
umf,7549
cco,45934
cof,55035
uuc,38359
mum,27018
cou,45864
oum,14660
uuu,27069
ouc,19594
ouf,7959
fuf,13935
uuo,22788
ocf,11210
ouu,17369
uof,24201
fuo,8867
ocm,34806
mcm,71607
muo,10474
uou,13710
cmo,6401
ofc,51245
fco,16503
ofo,677
fof,2736
fcf,20338
muf,11873
uoo,255
ooc,897
cmm,11495
mmc,11007
mmf,419
fcc,48486
umm,7623
ccc,9010
coo,1010
oof,272
fmu,2300
moc,4707
ouo,3248
ufo,1978
foc,4212
ofm,1800
cfo,5733
ucc,3463
cff,4521
ffc,7799
mmu,8102
uff,3183
fmm,629
mmm,2493
ufm,3721
com,4480
omu,579
mfu,3734
off,1077
ffu,628
mfo,404
ccu,1915
fmo,541
omc,3940
ffo,202
fom,90
mou,1128
fmf,731
fou,1761
moo,77
mmo,234
mfm,822
mom,8
omo,24
fff,266
ffm,717
mff,565
oou,367
uom,51
foo,195
omf,72
omm,15
ooo,6
oom,1
ucu,1
