r-gram,Counts
gcgc,3943
cgcd,2396
gcdg,7455
cdgc,2409
dgcd,1671
gcdi,2760
cdid,364
didb,148
idbi,705
dbia,1183
biad,1728
iadg,1217
adgc,2759
dgch,2099
gchf,2483
chfi,400
hfic,782
fica,4005
icag,9392
cagf,5088
agfb,1742
gfbh,10983
fbhi,690
bhic,2947
hica,9014
icab,11784
cabg,9810
abgg,2141
bggf,1062
ggfb,757
fbhe,937
bhei,2497
heif,2429
eife,631
ifeg,1336
fegd,1335
egda,2295
gdai,4995
daic,4492
aica,10607
icaf,2364
cafg,3614
afgf,199
fgfi,133
gfic,3374
cagd,2252
agde,1088
gdei,2947
deif,2532
eifd,2629
ifdg,1267
fdgc,1230
gcda,2457
cdah,539
dahg,1144
ahgi,597
hgid,2078
gidb,6602
idbg,7880
dbgf,3999
bgfa,4776
gfag,5164
fagd,651
agdh,530
gdhi,643
dhic,1122
abgf,6787
bgfb,4341
gfbg,8112
fbgg,1266
bggd,902
ggda,1773
gdab,7633
dabi,2740
abia,1202
biah,2280
iahd,2055
ahdd,312
hdde,20
ddeg,334
dega,577
egaa,491
gaah,1723
aahg,399
dbgc,5998
bgce,3156
gceg,6542
cegd,2799
egdh,2219
cabi,2199
iada,321
adaf,2849
dafi,5365
afid,5890
fidg,1426
idgd,1092
dgde,707
gdeg,8420
degf,5366
egfb,7202
fbhf,627
bhfg,3680
hfgd,1993
fgda,11321
egfa,7606
gfaf,1226
fafg,982
afgd,6557
biae,618
iaei,432
aeib,659
eibg,838
ibgd,1759
bgdb,5246
gdbg,7444
dbgd,5327
bgdf,1670
gdfg,2632
dfgd,2491
aeif,3355
eifb,2280
ifbi,708
fbid,498
bidg,1555
idga,845
dgab,1009
gabi,811
biab,1167
iabg,2058
abgd,7798
gdad,6023
dadi,5348
adic,5557
dicb,4420
icbg,5710
cbgf,7301
bgfd,7382
gfdg,9775
dahc,5037
ahcg,4393
hcgd,5513
cgdi,1026
gdic,3251
dica,7304
icac,3132
cacg,3487
acgc,1108
cgca,2101
gcah,3039
cahb,1437
ahbg,5052
hbgd,5863
gdaa,1381
daai,257
aaib,112
aibi,196
ibic,376
bica,610
bgdg,8797
gdgc,3180
cgdc,595
gdcg,4037
dcgd,3198
cgda,14191
abie,872
bieg,2174
iegf,2093
fagi,654
agid,3361
gidi,1683
idib,440
dibh,5612
ibhc,7976
bhca,2158
hcai,1966
caic,3057
caci,905
acif,119
cifb,671
ifbh,2591
fbhc,7142
bhcb,6155
hcbg,14549
bgfg,3159
gfgf,1909
fgfd,515
gfda,5262
fdah,1414
daha,1665
ahai,689
haia,249
aiai,420
iaic,1999
fbhg,617
bhgg,554
hggc,1483
ggch,19153
gchd,5140
chdg,2150
hdgd,1016
dgda,5103
gdah,8601
ahad,1033
hade,294
adeg,2731
degd,1989
gdhc,6808
dhcb,3122
cbgc,8178
dhci,2587
hcic,14126
cica,18529
abge,1142
bgeg,2482
gegg,796
eggg,1068
gggg,117
gggc,1328
ggci,1858
gcic,4026
icah,2862
cahd,260
ahdg,1538
hdga,1077
dgaa,337
gaad,1033
aade,724
hcbi,3915
cbic,666
bicg,1582
icgd,1692
dahb,1493
ahbi,840
hbia,1871
gdgd,4311
dahi,1008
ahic,3125
icad,8740
cadg,6107
adga,2299
gabg,4124
bgde,4628
hbgf,3514
fdgd,482
dahd,1043
ahdi,1087
hdic,2204
gdhg,710
dhgb,69
hgbh,416
gbhb,3429
bhbg,8780
agdb,657
gdbh,2604
dbhd,1274
bhdi,2360
hdig,393
digf,954
igfe,566
gfei,4688
feii,98
eiic,239
iica,1499
biac,222
iacg,537
hdgc,2640
chfb,288
hfbi,131
fbie,240
gfgc,2925
fgcb,3462
gcbh,12429
cbhf,2011
bhfh,577
hfha,83
fhai,180
degc,2251
egcf,120
gcfh,36
cfhe,3
fheg,1085
hegd,2298
egdb,1406
hbgc,4334
bgcd,5677
chfg,943
hfgc,995
cbhe,2127
heic,904
eicb,1977
icbh,3756
hfhg,95
fhgf,467
hgfa,356
gfah,4717
fahb,820
bgdc,1806
dcgc,1053
cgcb,4023
gcbg,12674
cbgd,9653
bgda,4569
gdaf,1377
afia,865
fiah,705
iahc,1700
ahch,100
hche,70
cheg,1741
hegh,499
eghi,83
ghic,287
hchg,31
chgf,390
hgfb,410
gegc,806
gcfi,655
cfic,188
ficb,931
bgfe,3155
gfeg,7186
dhcg,2453
hcgc,5171
cahg,820
ahgf,1129
hgfc,152
gfcg,4672
fcgf,765
cgfi,811
dgdb,1003
gdbi,2550
eifi,1287
ific,3350
dgdf,575
fgdh,4470
gdhb,1104
dhbg,1485
hbgg,1663
bhgi,602
dbgh,314
bghc,938
ghcb,910
hcbf,1403
cbfi,1347
bfid,1344
fidi,614
idic,2786
icaa,3902
caaf,670
aafg,833
afgi,469
fgia,749
giab,241
dbhe,1026
eich,1571
ichi,285
chic,1162
cadf,903
adfi,775
dfid,1024
fida,2272
idab,333
abif,1476
bifh,368
ifhb,180
fhbi,254
hbig,342
bigc,525
igch,1410
gchb,2374
chbi,402
bigg,157
iggc,459
gcig,1479
ciga,538
igaf,618
gafg,2104
hcid,637
cide,406
ideg,2347
degg,4313
eggc,10993
gchi,1327
chif,149
hifa,75
ifad,1671
fadf,155
idaa,48
daaf,167
aafi,432
afib,728
fibh,4023
ibhi,1249
cadi,5752
adib,4698
ibhe,1800
bheg,6301
hegg,2547
gchc,16246
