r-gram,Counts
gcgfd,652
cgfdg,754
gfdgg,875
fdgga,257
dggag,2041
ggagg,851
gaggd,3462
aggdg,3659
ggdgc,2007
gdgci,2726
dgcid,977
gcidg,3333
cidgi,680
idgid,2510
dgida,1542
gidai,2428
idaic,4544
daici,1749
aicif,419
icifg,469
cifgc,370
ifgci,1102
fgcic,1099
gcica,1190
cicag,1616
icaga,2258
cagag,1869
agagc,4026
gagci,4510
agcig,1689
gcigc,1680
cigcg,1034
igcge,849
gcgeg,4357
cgegi,583
gegig,688
egigg,158
gigga,253
iggai,403
ggaig,658
gaigc,975
aigci,308
igcif,68
gcifd,62
cifdi,58
ifdid,64
fdida,124
didag,1571
idagg,2724
daggf,666
aggfg,1738
ggfgc,938
gfgci,1702
fgcid,728
gcida,1310
cidag,1787
idagd,3522
dagda,2841
agdai,4023
gdaia,6038
daiai,1384
aiaid,1278
iaidg,2488
aidga,2805
idgag,6850
dgaga,5184
gagai,8153
agaia,2237
gaiaf,1512
aiafi,1139
iafid,1662
afidi,959
fidia,880
idiai,1087
diaia,365
iaiag,1994
aiagd,2550
iagdg,3773
agdge,1275
gdgeg,2289
dgegd,640
gegdd,797
egddi,174
gddia,551
ddiag,813
diaga,786
iagac,52
agacg,332
gacge,167
acgec,591
cgecg,1178
gecgd,829
ecgdg,703
cgdgi,661
gdgig,1462
dgigd,353
gigdg,801
igdgf,693
gdgfg,13804
dgfga,5830
gfgai,4174
fgaig,539
gaiga,1038
aigag,1347
igaga,1527
gagag,16847
agagd,6816
gagdg,10942
agdga,3462
gdgag,8814
dgagd,3958
agdgc,5251
gdgcg,13379
dgcgd,7922
gcgda,9703
cgdai,10322
gdaic,16204
daicg,8180
aicge,1578
icgeg,1986
cgega,1462
gegai,1845
egaic,1050
gaica,785
aicag,3678
icagg,4230
cagga,2592
aggag,7978
ggagc,3471
agcid,1382
idgie,525
dgiei,103
gieig,258
ieigc,994
eigcg,4450
igcgd,2652
gcgdg,9759
cgdga,2893
gdgai,4335
dgaid,2437
gaidi,1651
aidid,900
idida,576
daggi,274
aggig,831
ggigc,976
gigcg,3267
gcgdi,1867
cgdid,647
gdida,1337
dagge,777
aggeg,1590
ggegc,638
gegci,802
egcid,279
idaid,1491
daidi,1172
ididi,137
didia,188
idiag,1333
diagg,1431
iagga,3498
aggai,2203
ggaia,1654
gaiag,5169
aiagf,2448
iagfi,995
agfic,1837
gfica,832
ficag,1190
icage,588
cageg,646
agegg,1735
geggd,1536
eggdi,252
ggdif,204
gdifg,1275
difgd,1143
ifgdg,2326
fgdgc,3065
ididg,1590
didga,1594
idgai,2440
dgaia,1669
gaiai,4085
iaida,907
aidai,1824
idaia,1501
aidag,4039
dagga,2523
ggagf,1922
gagfg,10925
agfgd,4591
gfgdg,7340
didgc,1708
idgcg,8252
dgcgf,3002
gcgfg,5366
cgfgc,1456
gfgcb,1166
fgcbi,615
gcbie,407
cbieg,643
biegd,309
iegda,381
egdai,493
dgagf,2001
dgcga,7059
gcgaa,851
cgaag,935
gaaga,543
aagag,396
agagg,2291
gaggi,446
igcgc,1662
gcgcg,9226
cgcgd,3176
cgdag,5569
gdagf,4369
dagfg,4852
agfga,4713
gfgag,8165
fgagg,1734
igcga,3389
gcgaf,2059
cgafi,1459
gafig,291
afigg,91
figgc,53
iggcg,306
ggcgf,1681
cgfga,1179
gfgaf,1183
fgafi,782
gafia,776
afiag,638
fiaga,728
iagag,4160
gagga,3869
gaida,3057
idagf,1788
agfgi,7814
gfgic,2960
fgicg,1563
gicgc,892
icgcg,4400
cgcgc,2238
cgdic,717
gdicb,890
dicbi,1203
icbic,3198
cbicg,1948
bicge,222
cagge,784
aggee,174
ggeeg,233
geegg,662
eeggd,362
difge,304
ifgeg,826
fgegg,662
gegge,578
eggeg,612
ggega,1151
gegag,5496
egaga,1954
agaig,1290
gaige,536
aigeg,642
igega,608
daida,2371
gicga,1302
icgag,5235
cgage,1484
gageg,4500
fgdga,2958
dgagg,3460
gagge,1375
aiaga,2321
iagai,1851
agaid,2585
gaidg,6895
aidgc,2908
idgcb,1075
dgcbi,1776
gcbid,871
cbida,374
bidag,306
icgai,3626
cgaid,3301
aiaic,1488
iaicg,1777
gaicb,3665
aicbi,2369
bicga,360
cgagc,3873
cidgc,1509
gcgci,2613
cgcia,765
gciai,675
ciaia,334
aiagg,2755
gicgi,267
icgif,116
cgifg,121
gifgc,205
caggi,224
cgfge,1018
gfgeg,3293
fgegd,1119
gegda,1314
egdag,1394
dgidg,1774
gidgd,2023
idgdd,703
dgddg,2011
