r-gram,Counts
mcocu,1855
cocuf,1928
ocufm,332
cufmu,654
ufmuf,2744
fmuff,1700
muffu,2975
uffum,2500
ffumc,2645
fumcm,10733
umcmu,17406
mcmum,8817
cmumm,2360
mummu,3961
ummuu,4658
mmuum,2882
muumc,16555
uumcf,10058
umcfc,7384
mcfco,3027
cfcoc,3208
fcocm,3026
cocmc,5784
ocmcu,2595
cmcum,8210
mcumu,4958
cumuf,1827
umufc,9936
mufcf,9296
ufcff,5554
fcffc,2339
cffcf,1255
ffcfc,547
fcfcm,2498
cfcmf,876
fcmff,845
cmfff,214
mfffu,316
fffum,570
ffumo,243
fumoc,960
umocm,909
mocmc,1101
cumuu,569
umuum,5118
muumm,1854
uummc,2301
ummcf,1675
mmcfc,884
mcfcm,6532
cfcmu,5449
fcmuu,5070
cmuum,14413
muumu,5217
uumuu,1984
uumum,5139
umumu,6571
mumum,6750
mumuf,4483
umufu,9170
mufuf,6153
ufufu,8684
fufuc,1635
ufucm,2885
fucmu,3735
ucmum,5213
cmumu,9744
fufuo,3492
ufuoc,6894
fuocf,3196
uocfu,4645
ocfuu,3068
cfuuf,7054
fuufu,5498
uufum,11397
ufumu,12336
fumuc,3201
umucm,5160
mucmc,2395
ucmcc,1900
cmcco,4236
mccou,6848
ccoum,3638
coumf,700
oumfm,382
umfmu,720
mfmum,217
fmumc,1544
mumcm,9916
ummuf,4743
mmufu,2771
fufum,7290
fumuf,7565
mufuo,3987
fuoco,2945
uocou,7008
ocouu,4211
couum,7301
ouumc,14759
cfcou,4644
fcoum,4497
coumc,9651
oumcu,1444
umcum,7511
mcumf,1852
cumfu,1923
umfum,4512
mfumc,3101
mummc,2320
mmcfm,331
mcfmc,4093
cfmcf,2369
fmcfu,3577
mcfuf,9573
cfufu,9176
fumum,7610
mumuu,3421
uummf,243
ummff,423
mmffc,395
mffcm,1306
ffcmu,2434
fcmum,4623
muumf,1299
uumfc,920
umfcm,1671
mfcmc,1353
fcmcm,8441
cmcmu,12577
umuff,1656
ffumu,2325
fumuo,4176
umuoc,6436
muocm,5045
uocmc,6550
mcumc,7101
cumcf,5450
umcfm,4724
mcfmu,2900
cfmum,2301
mumcf,9261
umcfu,20584
mcfum,10865
cfumc,12882
mumuo,3132
umuou,7647
muoum,4820
uoumu,6695
oumuf,5548
mufuu,4656
ufuum,8144
fuumu,5891
uumuf,4016
fuumm,2661
uummu,2968
ummuo,2246
mmuoc,1525
uocmu,5814
ocmum,2940
cmumc,11446
mufcm,6746
ufcmc,11308
fcmco,4871
cmcoc,6161
mcocc,2365
coccm,1936
occmc,3816
ccmcm,6071
mcmuu,9941
mcfuu,7661
cfuuo,3179
fuuou,3605
uuoum,3582
uoumm,1006
oummf,107
ffcmc,2565
uumco,6249
umcou,11051
mcoum,5736
coumm,1463
fcmuc,1287
cmucm,2994
mucmf,276
ucmff,254
cmffc,757
cmcou,9138
mcouc,971
coucm,1342
oucmu,2044
ucmuf,2993
cmufu,9245
mufum,9723
ufumf,3733
fumfu,3056
fumuu,3549
uumcm,9878
umcmm,2582
mcmmc,2253
cmmco,982
mmcoc,1358
mcoco,2034
cococ,2452
ococm,1995
cocmu,4174
mumcc,4690
umccm,8673
mccmc,11071
ccmcf,6180
cmcfc,6474
mcumo,980
cumoc,589
umocc,561
moccf,540
occfo,1927
ccfou,3576
cfoum,2915
foumc,2512
oumcf,4995
mcfcf,3404
cfcff,1201
cffco,672
ffcou,1166
fcouo,1836
couou,5353
ououm,2551
uoumf,784
oumfc,397
umfco,367
mfcou,488
mcumm,3789
cummu,2901
mmuff,438
mmcou,1372
cfumu,8207
umuof,391
muofc,425
uofco,263
ofcou,447
ououo,2311
uouof,313
ouofu,237
uofum,391
ofumu,510
oumum,3711
umumc,15001
umccf,9407
mccfu,7885
ccfuu,2744
cfuum,8038
fuumc,10262
coumu,7553
oumuo,2933
oumcc,3663
mcmuo,6019
cmuoc,4732
oumuu,4081
fcmcf,4707
cmcfu,10893
umumm,3206
mmcof,39
mcofc,340
cofco,266
ofcoc,106
cummf,218
mcocm,4133
ocmuu,2944
oumfu,858
mmuou,1296
muouu,9937
uouuf,10875
ouufc,7986
uufco,3939
ufcou,8653
fcouu,4827
ouumu,3846
ufuof,527
fuofc,319
muffc,1422
uffco,642
