r-gram,Counts
ocf,49758
cfc,248630
fcf,70910
fcm,108298
cmc,448054
mcc,180568
ccm,176849
mcf,146843
cfm,40973
fmc,73917
cmo,3652
moc,3263
oco,25642
coc,157695
ocm,75685
ccc,15797
ccf,96265
cff,56530
ffc,38080
fcc,103870
mcm,165416
cco,59855
occ,48531
cmf,53127
mfc,21753
ffo,9512
foc,37958
mco,74104
coo,742
ooc,700
cof,23438
ofc,15439
mfo,14904
fom,4188
omc,21637
cmm,21415
mmc,23323
cfo,17643
fof,4148
fco,40824
com,18550
omm,979
off,2336
ffm,17453
fmo,478
fff,10711
fmm,1879
ofo,4337
mfm,15126
ofm,6020
mff,6179
foo,102
fmf,3298
omf,591
mof,430
mmf,946
mmm,533
oom,29
mom,444
oof,116
omo,4
mmo,4
moo,1
