r-gram,Counts
fcf,110514
cfc,102204
fcb,66198
cbu,67051
buk,17313
ukc,46832
kcc,18855
ccf,43601
cfu,114929
fub,94660
ubk,7828
bkc,10924
cff,15377
ffu,14125
fuf,110291
ufu,116092
ubc,102483
bcu,62090
cuc,3381
ucf,47860
ubf,16998
bfu,38685
fuc,28233
fuu,25831
uuf,38637
ufb,49136
fbc,42509
bfc,29335
cbc,78102
bcb,52730
cub,39082
cuf,58548
ufc,104236
fcu,31799
bcf,63539
bcc,51705
ccb,33451
kcf,22475
fbu,21644
kcb,20272
cfb,55477
fbf,29763
ubu,59845
buf,55932
fuk,24959
kcu,17983
uff,10511
cck,11564
ckc,24753
cuk,10928
bub,42657
ubb,29319
bbc,17755
cbb,15845
bbf,13182
bfb,13036
buu,27545
bck,11256
uub,19778
fcc,20625
bff,2107
uuc,3323
uck,6642
cku,21552
kuf,16568
cbf,20109
buc,31020
uuu,1609
ffb,3275
ffc,10646
bbu,25150
kub,20296
fbb,15330
fbk,12046
bku,23788
kuu,10090
bbb,3503
fck,17398
ucb,18459
uku,16300
kuc,7193
ukb,1676
kbf,3111
kuk,7494
cbk,10003
bbk,5559
ccc,1884
ckb,3182
kbb,1152
cuu,2691
kbu,777
uuk,4419
ukf,305
kfb,368
kck,2928
ccu,2720
ucc,151
kbc,471
ckf,300
kff,51
fff,543
bkb,1152
kbk,499
kfu,143
ucu,38
kfc,113
bkf,70
ckk,1
kku,1
bkk,1
kkc,1
ufk,1
fkc,3
cfk,2
