r-gram,Counts
gbgcg,1981
bgcga,1342
gcgah,1109
cgahf,2002
gahfc,3330
ahfcg,4972
hfcgd,4022
fcgdi,4021
cgdih,3895
gdihf,4273
dihfc,530
ihfcg,481
hfcgg,87
fcgga,82
cggag,276
ggagd,587
gagdi,2817
agdif,396
gdifa,288
difaf,86
ifafg,367
fafga,299
afgai,1655
fgaig,1189
gaiga,1805
aigag,957
igagd,1124
gagdf,446
agdfg,549
gdfgd,85
dfgda,79
fgdag,1384
gdaga,1450
dagag,2147
agagi,3324
gagif,3177
agifa,1287
gifaf,344
gaigb,831
aigbg,786
igbgb,498
gbgbi,1496
bgbif,764
gbifi,606
bifif,111
ififd,99
fifdi,86
ifdic,430
fdicd,38
dicdg,241
icdgc,429
cdgca,29
dgcai,159
gcaif,1400
caifg,496
aifga,1971
ifgag,1392
fgagi,1344
agifb,1169
gifbi,2667
ifbid,755
fbidh,68
bidhf,48
idhfg,822
dhfgb,436
hfgbi,139
fgbif,811
gbifa,1230
bifag,1397
ifagi,1539
fagia,406
agiah,564
giahf,1039
iahfi,798
ahfic,3601
hficb,59
ficbg,359
icbgi,361
cbgig,311
bgigf,229
gigfg,2459
igfga,1431
gfgag,4036
fgaga,1997
gagai,5372
agaia,3946
gaiag,2864
aiaga,1893
iagah,984
agahf,2986
dihfa,1917
ihfag,1659
hfagg,269
fagga,225
aggac,222
ggacg,572
gacgb,517
acgbi,997
cgbif,1190
iahfc,789
ahfch,342
hfchc,51
fchcb,16
chcbh,13
hcbhf,19
cbhfg,371
bhfga,213
hfgag,536
gagag,7964
agaga,4838
agaib,1693
gaiba,1323
aibah,403
ibahf,298
bahfc,160
hfcga,477
fcgai,1233
cgaid,1731
gaidg,4895
aidgi,977
idgib,168
dgibg,538
gibgi,494
ibgig,696
igfgd,696
gfgdi,1687
fgdia,655
gdiai,1312
diaii,531
iaiib,79
aiibg,195
iibgi,71
fgdib,798
gdibi,1002
dibii,634
ibiig,763
biigi,1121
iigif,957
igifa,858
gifah,710
ifahf,984
fahfc,428
hfcgi,816
fcgib,22
cgibg,318
gfgai,2969
fgaib,878
gaibg,2810
aibga,1683
ibgag,3350
bgaga,3108
gagia,672
agiaa,135
giaag,342
iaagd,1353
aagdg,1411
agdgi,5069
gdgif,3451
dgifa,1206
fgaii,767
gaiic,356
aiicb,67
iicbg,93
gfgdg,2506
fgdgi,1127
dgifh,114
gifhb,157
ifhba,131
fhbag,71
hbagi,83
bagig,222
agigi,1406
gigif,2568
aibgc,974
ibgci,417
bgcif,223
gcifi,382
cific,79
ificb,371
fgaif,2049
gaifg,3144
ifgaa,194
fgaai,352
gaaid,234
aaidg,163
aidga,1863
idgai,3044
dgaia,1951
aiagd,918
iagdg,2818
agdgb,1774
gdgbd,62
dgbdi,43
gbdig,31
bdiga,39
digag,830
igagf,1529
gagfb,688
agfbi,403
gfbif,163
fbifd,220
bifdi,248
ifdig,105
fdigg,16
diggd,74
iggda,181
ggdaf,388
gdafh,274
dafha,305
afhag,1189
fhagf,818
hagfa,543
agfai,1188
gfaid,169
faidg,656
aidgf,922
idgfg,1312
dgfgb,1330
gfgbg,4989
fgbgc,1391
gbgcd,487
bgcdi,330
gcdib,398
cdibi,344
biiga,1037
iigai,1273
igaif,2170
gaifc,4493
aifci,3697
ifcig,3444
fcigf,3351
cigfg,3439
igfgc,3769
gfgca,1163
fgcag,1222
gcagf,1038
cagfa,152
agfah,232
gfahf,332
aidgb,757
idgbi,1233
dgbif,1722
ifagb,784
fagbg,1070
agbga,3608
gbgag,6561
agagd,3718
gagdg,6793
gdgic,1316
dgica,552
gicah,73
icahf,203
cahfd,55
ahfdi,384
hfdia,155
fdiag,323
diagb,634
iagbi,1712
agbif,1770
gbifb,721
bifbi,478
ifbib,1260
fbibg,423
bibgb,255
ibgbd,22
bgbdi,82
gbdib,77
bdibg,181
dibgg,658
ibgga,208
bggai,638
ggaib,523
cggai,312
ggaic,128
gaica,785
aicah,99
cahfa,37
ahfai,1457
hfaif,676
faifa,933
aifag,6351
fagid,297
agida,826
gidag,3244
idagc,1060
dagcg,1155
agcga,1960
gcgag,4280
cgaga,2612
agagb,1491
gagbi,2977
ififi,199
fifid,144
ifida,2895
fidag,2962
idagi,1088
dagia,216
iahfa,829
ahfag,1396
hfagb,772
fagbi,1021
bifai,566
ifaii,387
faiif,53
aiifh,68
iifhb,218
ifhbi,69
fhbif,74
hbifh,34
bifhb,122
igifi,2074
gifig,1119
ifigd,485
figdg,265
igdgd,1157
gdgdg,2031
dgdgd,570
gdgdi,1344
dgdib,624
fcgid,245
cgidi,99
gidic,52
idica,48
dicah,133
hfaig,77
faiga,158
gagda,1032
agdai,491
gdaid,165
daidg,243
hagfb,62
gfbid,232
fbidf,277
bidfg,821
idfgb,248
dfgbg,560
aidgg,364
idgga,162
dggag,283
agdag,994
gdagc,1551
gbifg,2179
bifga,1082
ifgad,303
fgada,90
gadag,72
adagc,34
dagcc,283
agccg,571
gccgg,124
ccgga,106
ggaia,401
gaiaa,1147
aiaag,1145
aagdi,848
agdib,1944
gdibg,1728
ibggi,144
bggif,592
ggifd,128
gifdi,966
ifdia,626
agbic,1088
gbicg,1186
bicgb,263
icgbg,972
cgbga,1606
bgagg,557
gaggb,896
aggbg,1170
ggbgi,1362
gbgif,2892
bgifi,1898
cgdia,571
gdiag,2193
bicga,770
icgai,1886
cgaia,1516
gaiaf,2993
aiafg,3272
iafga,1434
aigai,1414
igaid,596
aiagb,674
agbib,1199
gbibi,952
bibif,250
ibifg,544
ifgai,1506
fgaia,1033
agdig,1557
gdigi,914
digid,163
igida,584
gidai,1176
idaii,667
daiid,142
aiidc,251
iidcg,706
idcgd,488
dcgdh,140
cgdhc,581
gdhci,623
dhcib,342
hcibf,319
cibfh,562
ibfha,273
bfhai,85
fhaid,16
haidg,135
idgif,592
hfcgb,238
fcgbg,497
agdga,6628
gdgag,4584
dgagf,1828
gagfa,1457
idgaf,246
dgafg,645
gafga,1408
gaigd,660
aigdg,655
dgdif,233
gdifg,555
difgb,115
ifgbg,1272
fgbgd,1334
gbgda,1279
bgdai,682
gdaia,413
daiag,587
iagbg,2292
agbgb,1136
bgbig,305
gbigf,865
bigfg,688
iagai,2848
iagag,2880
agagf,3248
gagfi,2289
agfif,276
gfifa,292
fifah,53
fahfb,44
ahfbg,1627
hfbgg,137
fbggi,163
ggifg,88
gifga,639
fgadb,15
gadbg,6
adbgb,1
dbgbg,131
bgbgc,384
gbgca,1697
bgcag,1977
gcagb,846
cagbg,1201
bgbic,526
gbicd,107
bicdg,110
cdgcg,475
dgcgg,156
gcgga,331
ggaga,558
gagaa,749
agaag,838
gaagb,629
aagbg,787
gagic,1272
agici,1083
gicid,1004
icidg,1448
cidgf,1268
idgfd,123
dgfdi,99
gfdia,211
diagd,1273
gdgaf,782
gaifi,2494
aifib,348
ifibg,453
fibgi,1094
ibgif,2060
igaia,971
gbgdi,1075
bgdif,298
difai,139
ifaia,973
faiag,555
agfbg,644
gfbgc,203
fbgcc,51
bgccg,526
gccgi,472
ccgia,204
cgiac,2378
giacg,4712
iacgi,1686
acgia,955
iacgb,2306
acgbg,1625
idgfb,224
dgfbg,184
gfbgb,120
fbgbd,8
gbdia,52
bdiag,93
adbgc,4
dbgca,186
gbgbg,1684
bgbga,1185
idgfi,867
