r-gram,Counts
ag,192460
ge,46443
eb,1931
bg,108251
ga,164988
ab,8993
gc,141021
ca,29781
gf,151167
fg,92181
gg,32015
gd,106469
da,31326
ci,71402
ie,55719
eg,75225
gb,103084
di,76833
id,48836
dg,105938
fb,25304
ai,109214
ba,8376
af,10705
cg,141682
ei,52056
if,84653
fi,69270
ig,42395
dd,17998
ad,45537
be,6798
ii,38374
ic,75088
gi,44960
bd,12210
cf,5171
fa,36841
dc,14777
cb,29953
bi,70641
ce,6507
df,4346
cd,14261
ib,51926
fe,7809
ia,135759
ac,31756
fc,18957
fd,14308
cc,21491
ea,1908
aa,21305
ae,10315
bf,5429
bc,14665
bb,4823
ee,4197
db,5179
ff,9930
ed,1519
de,4741
ef,3199
ec,2494
