r-gram,Counts
cmc,583181
mcc,273710
ccm,260629
mcm,207524
cmf,22463
mfc,12316
fcc,84922
mco,79513
coc,304195
ocm,106616
ccc,41401
mcf,69213
cfc,154816
ccf,62093
cfm,13908
fmc,25470
cco,130717
oco,94229
com,10306
omc,11129
coo,9136
ooc,9932
fcm,53141
ocf,51695
cof,19893
ofc,14383
fco,39071
fmo,773
moc,12849
occ,94807
cmm,9848
mmf,117
mmc,10181
mfm,7616
fcf,10711
cmo,12419
fmm,410
mff,1414
ffc,6330
ffm,2202
cfo,18668
foc,20371
cff,6320
ofo,4674
ofm,3614
mfo,2028
mof,320
ffo,1271
fof,4357
fom,991
off,2069
fff,744
mmm,21
oof,170
mmo,39
foo,922
omm,79
omf,107
omo,48
fmf,687
mom,66
moo,44
