r-gram,Counts
coc,579492
oco,204101
ocf,154144
cfc,353245
fco,131483
cof,64290
ofo,26949
foc,96154
occ,267472
ccf,126702
cfo,69508
ofc,36970
fcm,56663
cmc,301999
mcc,97840
ccc,21978
fcc,109204
cco,206783
ccm,141031
mcm,45629
fcf,104664
mcf,61192
mco,120894
ocm,67664
cfm,7168
fmc,11309
coo,11984
ooc,14580
cmf,2808
mfo,1532
cff,16781
ffc,11128
ffo,6978
fof,4205
foo,2994
cmm,3122
mmc,3120
com,7496
omc,9127
off,2585
fom,1614
mfc,671
ofm,2585
fff,620
oof,439
cmo,3058
moc,3156
ffm,1845
mff,585
fmf,193
mof,155
moo,46
mfm,239
fmo,325
mom,36
omf,14
omm,9
ooo,4
fmm,10
mmm,30
mmf,12
mmo,9
oom,5
omo,1
