r-gram,Counts
uoc,159857
oco,123892
coc,202851
ocf,87045
cfc,99489
fco,73022
cof,34265
ofo,26949
fou,34598
ouu,40909
uuf,19601
ufo,25104
foc,61556
cou,143997
ouc,41754
ucf,16064
ofc,19708
fcm,26154
cmc,140839
mcu,41615
cuu,4678
ufu,74564
fuu,21867
uuo,26943
uou,72787
ouo,80209
ocu,81015
cum,43483
umc,90502
mcm,35448
cmu,28789
muu,3883
fcf,51330
mcf,46192
fcc,33303
ccm,47853
mcc,48207
cuf,41013
fuc,26589
uco,30175
occ,103794
cco,89259
ouf,67099
uof,30025
ofu,17262
fuo,58461
mco,78183
cfu,93542
fuf,53334
fum,30509
oum,29473
umu,41869
muf,15000
ufc,85650
ufm,3374
fmc,6729
muc,4135
ucm,25986
muo,42711
uoo,4879
ooc,7457
cfo,44404
uum,23709
ccf,50024
cuo,60406
cmf,1764
mfo,1532
ccc,13262
cff,9426
ffu,5183
ffo,6978
fcu,27445
fof,4205
ocm,38191
ffc,5945
oou,7123
foo,2994
umm,2637
mmc,2731
mum,10181
ucc,1870
uuu,505
uff,7355
coo,7105
com,6313
omc,8844
cfm,3794
off,2585
omu,283
uom,1183
fom,1614
uuc,1084
umf,1044
mfc,462
ofm,2585
mmu,389
cmm,485
fff,620
oof,439
umo,1303
mou,940
ffm,1845
mff,585
fmu,4580
mfu,209
moc,2216
cmo,1755
fmf,193
mof,155
moo,46
cuc,537
mfm,239
fmo,325
mom,36
omf,14
omm,9
ooo,4
fmm,10
mmm,30
ccu,38
mmf,12
ucu,4
mmo,9
oom,5
omo,1
