r-gram,Counts
agbg,31834
gbgc,23793
bgci,5098
gcif,6644
cifg,6666
ifgc,18969
fgcg,17118
gcgi,3222
cgig,2857
giga,5525
igaa,2490
gaai,3879
aaig,873
aigf,470
igfg,2594
gfgd,22936
fgdc,4561
gdci,1270
dcif,186
ifgg,1004
fggc,7199
ggch,3231
gchc,10254
chca,3376
hcad,1706
cadg,2335
adga,2107
dgaa,1343
gaag,6291
aaga,1026
agag,30170
gagc,41283
agcg,18161
gcgf,7809
cgfg,11140
gfgc,22397
fgcd,2757
gcdh,6512
cdhc,1596
dhcg,718
hcgd,1556
cgda,2998
gdag,10923
dagb,1140
agbi,1610
gbic,2906
bicg,3171
icgb,1069
cgbg,10237
gbgf,10643
bgfi,2308
gfic,4154
ficb,1144
icbh,522
cbhf,7754
bhfb,4393
hfbh,556
fbhc,377
bhca,829
hcai,1503
caia,8748
aiab,1506
iabg,2365
abgc,3280
bgcc,5827
gccg,11520
ccgd,2910
cgdg,9958
gdgd,4293
dgda,741
daga,1468
agad,1905
gadg,5817
adgi,1549
dgib,1583
gibg,2758
ibgf,3590
bgfg,31492
gfgi,5145
fgid,352
gidg,826
idgc,11551
dgci,2407
gcib,1901
cibf,51
ibfg,280
bfgi,9
fgig,4266
gigc,12632
igcb,7747
gcbh,7266
fbhf,657
bhfi,884
hfif,1464
fifg,633
ifgi,303
igcc,5738
gcch,17856
cchc,13792
chci,5493
hcia,1313
ciai,1195
iaia,1264
aiag,10621
iagd,1236
agdh,2472
gdhb,2189
dhbg,4793
hbgf,4665
fgdh,1724
gdhd,1139
dhdi,1193
hdig,702
diga,1879
igai,4934
gaib,8761
aibg,6896
gfga,16544
fgai,7374
gaia,13289
iagi,2698
agif,1914
gifh,624
ifhd,3013
fhdb,513
hdbg,443
dbgf,1766
fgab,697
gabi,1376
abif,509
bifg,1410
ifga,2007
fgag,24082
gaga,27130
agah,4847
gaha,8183
ahag,17384
haga,5646
agai,6936
gaig,7758
aigd,1894
igdg,3147
gdgg,3262
dggf,409
ggfg,4750
fgdb,5214
gdbh,1728
dbhf,2292
hfbg,3857
fbgf,2451
gabg,6847
abgg,824
bgga,5131
ggag,11018
gagd,11035
agda,3095
gdah,4442
dahf,1821
ahfc,700
hfci,176
fcia,101
ciag,2067
iagg,1283
aggc,3665
ggcg,7970
gcgg,7552
cggf,925
gfgf,3793
fgfg,2827
bhfa,6948
hfag,7718
faga,5884
