r-gram,Counts
fcc,88940
ccc,35634
ccf,106415
cfc,212431
fcf,63255
cfm,61876
fmc,57451
mcf,110701
mcc,183175
ccm,176159
cmm,27267
mmf,2651
mfc,45996
cmc,467296
mcm,198266
mmc,25858
mco,71955
coc,210187
ocm,95303
cco,85497
com,12915
omc,13492
oco,40216
cof,14603
ofc,16360
fcm,94916
fco,46168
ocf,53270
fmo,2588
moc,29475
cmo,27773
cfo,39967
foc,38378
occ,95956
fof,2073
cmf,42308
mmo,1441
ofo,989
fmf,6359
cff,19366
ffc,18491
mof,2267
fmm,2578
mfm,3915
omm,105
ffm,2004
ofm,1181
omf,804
mff,865
off,816
coo,6131
ooc,6705
mmm,490
ffo,552
foo,912
fom,1491
fff,480
mom,383
mfo,1346
omo,453
oof,403
oom,65
moo,130
ooo,15
