r-gram,Counts
fcu,84038
cuc,9055
ucf,27396
cfc,252065
cuu,10759
uuf,63954
ufu,72316
fuf,113282
ufb,10454
fbc,23045
bcf,116595
cfb,22177
fbu,12192
buc,6265
fbf,4373
bfc,56014
ufc,156181
fcb,93570
cbf,38486
fcf,252704
cfu,151828
fcc,117380
ccf,102367
cff,72992
ffc,83431
cub,31228
ubc,77457
bcc,33695
cuf,61914
uff,40069
fub,89095
ubu,30794
cbc,104670
fuu,63183
uub,20458
ubf,45850
cbu,44603
buu,18733
ffu,30584
cbb,6503
bbc,13963
ccb,48761
buf,39870
fuc,15871
fff,8905
bfu,26703
bcb,39939
bub,28995
bcu,28906
bff,7039
ucb,11993
ccc,7137
ffb,6085
uuc,8263
ubb,15675
bfb,3391
bbf,4438
bbu,6274
fbb,2497
uuu,345
bbb,628
ucc,63
ccu,10
ucu,2
