r-gram,Counts
fcu,29556
cuc,9055
ucf,9729
cfc,72450
cuu,10759
uuf,26852
ufu,29850
fuf,27399
ufm,34143
fmc,35177
mcf,75836
cfm,27733
fmu,22274
muc,10531
ucm,20937
cmm,16930
mmf,2651
mfc,34544
uum,39844
umc,134579
mcm,133926
mmc,15881
mco,54484
cou,52348
oum,38058
mcc,73699
cco,40679
com,8379
omc,10081
coc,83716
oco,27540
cof,10912
ofc,12062
cum,39572
ccm,75806
cmc,200569
mcu,58342
cuo,18379
uom,4536
cmu,84592
mum,64340
cfu,59491
fum,36567
umu,47556
fco,28302
ocm,57245
ocf,31270
fuu,23202
umm,10337
muu,40603
ufc,50640
fcf,35856
fmo,2588
moc,22412
ouf,22000
fcc,30581
cmo,17920
mou,7063
muf,34865
ufo,22802
foc,28206
fcm,58349
omu,3411
muo,17471
uoc,48419
occ,46795
mmu,9977
ouc,6004
fof,2073
cuf,35191
umf,16056
uco,8723
cfo,17165
cmf,26252
mmo,1441
ouo,12676
uof,3691
ofo,989
ouu,18111
uuo,17716
fuo,17866
uou,25704
fou,10172
ccf,34643
ccc,7137
ocu,25046
fmf,6359
mfu,11452
uuc,8263
cff,10494
ffc,12947
ffu,5544
fuc,5601
uff,8872
mof,2267
fmm,2578
mfm,3915
omm,105
ffm,2004
umo,9853
ofm,1181
omf,804
mff,865
off,816
uoo,1758
ooc,5143
mmm,490
coo,4373
oou,1562
ffo,552
ofu,4298
foo,912
fom,1491
fff,480
uuu,345
mom,383
mfo,1346
omo,453
oof,403
ucc,63
oom,65
moo,130
ooo,15
ccu,10
ucu,2
