r-gram,Counts
gcaf,2921
cafg,3125
afgc,4517
fgca,2746
gcad,5247
cadg,5893
adga,6217
dgag,10134
gagi,2185
agib,650
gibg,2910
ibgi,2372
bgia,1329
giaf,584
iafg,4355
afgi,851
fgig,602
gigf,1130
igfa,3609
gfad,3074
fadg,2735
adgf,6215
dgfi,6506
gfig,4487
figf,2646
igfg,6980
gfga,21333
fgag,20725
gagf,25160
agff,7131
gffg,28019
ffgi,505
fgif,840
gifg,2698
ifgf,4331
fgfg,12073
ffgg,3582
fggf,11371
ggfg,14027
gfgg,18033
fggc,6782
ggcd,1823
gcdi,911
cdif,817
difc,558
ifcg,2249
fcgg,898
cggb,1617
ggbg,8102
gbge,4762
bgeg,5912
gegf,6469
egfa,1324
gfag,13663
fagg,4024
aggf,7906
gagc,9209
agcg,7576
gcgb,5147
cgbf,896
gbfg,5216
bfgf,280
fgai,18570
gaia,9253
aiaf,1206
afge,2497
fgeg,7524
gegc,8506
egci,4082
gcif,12560
cifg,12978
ifgb,6513
fgbg,19689
gbgd,7695
bgdd,3614
gddi,3699
ddig,1028
digf,1257
igfi,1625
gfid,1863
fida,1717
idag,3938
dagf,3731
agfg,18756
gaib,4352
aibg,6501
ibgb,2524
bgbg,5631
gbgi,4395
bgig,1564
gfgb,12946
fgbe,4585
gbeg,8399
bege,1301
egeg,3598
gegd,2588
egdi,835
gdif,4332
diff,1849
iffg,3613
fgga,5107
ggai,8186
gaig,21492
aigb,2606
igbg,5628
bgib,941
ibgd,2348
gddg,10341
ddgd,1170
dgdg,2325
gdgg,3054
dggf,3913
gfgf,8700
fgfi,3731
gfia,3586
fiad,1436
iadg,4081
adgg,5448
adgd,2360
dgdi,1123
gdib,1166
dibg,2097
bgie,215
gieg,1094
iegb,1706
egbg,6714
gbga,12387
bgag,8160
gaie,3228
aieg,5286
egbi,1025
gbii,541
biic,640
iicg,3268
icgg,4554
cggd,1808
ggdg,5036
gdga,8937
agfi,5072
gfif,6430
fifg,6186
adgb,3584
dgbg,6068
gbgf,21284
bgff,9855
ffga,8982
bfga,1713
aigc,8767
igci,4101
dgbe,863
gbei,6869
beif,2826
eifc,2038
ifci,2097
fcig,968
cigf,4066
bfgc,2271
fgci,6516
gcia,4041
ciag,3411
iagg,4891
aggd,2337
ggdi,2495
gdid,680
didg,517
idgf,3819
dgfg,14461
fggd,2844
gdic,2469
dicg,910
icga,5964
cgag,8327
gcga,9422
cgaf,1012
gafg,9366
gcib,2465
cibe,600
ibei,1491
fcib,666
cibg,4888
dggg,1139
gggf,2924
ggfd,5676
gfdg,12304
fdgf,1961
dgfc,545
gfcg,5920
fcgc,1234
cgcg,7220
gcgc,9216
cgca,4007
gcai,10063
caig,5215
igcc,951
gccg,5966
ccgb,1620
cgbe,1980
beig,1203
eigf,966
igff,5641
aiga,5571
igag,6854
agfd,1997
fdga,1729
bgid,631
gidg,2378
idga,3530
dgad,3835
gadg,21014
aigd,5754
igdg,3264
ifgg,7707
gagd,6085
agdi,2377
dici,3721
icid,2361
cidi,1128
idia,741
diai,1842
iaig,6380
aigf,10467
igfd,2593
caib,1206
ibgf,8167
dicd,35
icdi,1312
cdia,160
diaf,797
afgg,2235
igai,5227
iegg,2386
egge,332
ggee,493
geeg,939
eegc,309
egcc,1181
cgbg,6813
giai,2404
gcig,7005
caia,2313
aiad,682
figd,944
igdi,1321
gcgd,4765
cgdg,3609
dgai,7697
gaic,14801
aicb,2904
icbi,2651
cbib,750
bibe,279
ddgf,4031
fidg,2883
gaif,11060
aifb,973
ifbg,1858
fbgc,1622
bgci,3347
cigc,2976
gcic,9599
cicd,1941
difi,1056
ifif,1839
fifi,5845
ifii,688
fiib,623
iibi,598
ibig,1134
bigg,578
igga,991
ggag,7069
gagg,11638
aggg,1569
gfgd,10664
fgdi,6255
gdia,1710
ifgd,4545
iaia,3606
aiag,8925
iagf,9770
gfgc,13636
fgcg,11543
cgdd,2226
ddgb,1169
igcg,5109
gcgf,11291
cgfg,9617
fggb,3568
fgaf,3128
gafi,4256
afib,2177
fibi,871
ibia,613
biag,2725
iagb,2529
agbe,1294
begf,4188
egfc,368
gfci,2163
fcif,397
ggfb,1718
gfbg,3904
fbga,937
gaga,13186
agaf,1644
biai,1988
iaic,5248
aici,3346
cidg,2373
idgc,2658
dgcg,5347
gcgg,8434
cggg,1332
fbgf,969
bgfg,10643
bgdf,322
gdfi,526
dfia,289
fiai,3731
iagd,1745
agdg,5351
adgc,4534
dgci,10824
gcid,2537
idif,1598
ffgd,4239
fgdf,376
aiai,7558
aicg,8620
icgf,6219
cgfd,868
fdgc,8086
cgad,1971
dgda,1504
gdai,8909
daic,1744
cbif,1721
bifg,2575
gdig,4045
digd,769
igda,5401
gdag,12744
daga,4957
agad,3821
dgga,2053
ccgf,1331
ibid,157
bidd,328
iddg,2466
icgd,3636
ifga,8935
afia,2218
fiaf,1224
ggda,2087
gdgc,6326
dgcc,667
gcci,7174
ccia,1548
ciad,493
cidf,109
idfi,74
agfa,8745
fadi,809
adib,448
dibe,671
ddga,2043
dggc,2590
ggci,3416
cifi,616
ifia,3442
bgfa,3072
fiag,4810
agfb,1248
fbgd,552
bgda,2889
dagc,2181
agcb,1866
gcbi,7287
cbig,3035
bigf,2860
gfbe,1988
fbei,1325
ffgc,4305
gdgf,10600
dgfe,2492
gfeg,3462
fegc,630
bgdg,3309
ccga,1941
fgda,6639
dagb,1740
beic,1486
eicg,1056
cgga,2406
ggcc,2848
ccgd,1087
bgfi,3628
fgff,748
gffi,7377
ffic,738
ficg,2984
icgc,5850
fgbi,4062
gbig,4553
dgbf,340
fgcb,3467
gcbg,7748
cbgf,2649
eifg,2318
ffgb,4631
gbif,1877
cgci,3226
bgif,591
iegc,2462
egcg,4072
agga,3307
bfgg,1170
cgai,7228
gfai,8456
faib,526
aibe,522
igbf,492
gbfi,1614
bfif,518
agci,4770
ibgg,3657
bggd,2173
ggdd,2349
gfge,4213
gege,2991
egca,4738
gcag,16416
cagg,4223
aggi,1727
ggia,1152
giad,699
dgff,925
ffge,1831
fgei,3094
geif,3487
ifgc,4316
afgf,1686
gfib,4101
fibg,7094
gigb,484
cbgc,1808
cida,2293
idaf,3969
dafg,4881
caga,3779
agag,11670
gagb,7577
agbi,1472
bigb,1120
igbe,1149
begc,2795
cigb,1407
cicg,6177
cgff,4079
ifid,1594
gfgi,4158
fgia,1450
dggb,1397
icgb,3320
gbgc,6392
bgcg,6118
diga,1902
icbg,2731
cbgg,1065
bggc,1704
cifa,1801
ifag,6477
faga,4133
afga,4878
gage,4053
ageg,5750
gegg,4065
eggf,2190
ggca,6643
gbgg,6975
ggcg,5378
fgdg,9241
igca,4933
cagd,1652
daig,2659
dagg,1819
fega,987
egag,6154
bgfd,3614
gfdi,4115
fdii,2498
diif,708
iifi,231
fiic,1241
iici,2415
icig,3824
cggc,2863
afgd,3439
ggbi,2018
gbic,2683
bicg,2162
cgdi,1860
gdgb,2291
bgfc,1146
fcgf,1624
difg,1928
ifgi,1756
fidi,1050
difb,331
agda,2463
gdaf,3238
gifi,772
cigd,1123
digg,526
iggc,1481
gggc,1869
gbgb,6067
fgic,2537
gicg,7435
cgda,2086
dagi,359
agig,637
gigd,480
ccgc,1516
fgib,639
ddgg,2279
idig,377
egfg,7126
beib,2290
eibg,2797
ibga,5397
gdii,2826
diic,1244
iicc,370
iccg,4078
ccgg,2014
gdgd,1620
aigi,1131
igie,117
cggf,4232
biad,506
fggi,1362
ggic,1381
gicc,841
figc,1798
caii,859
aiig,1636
iigg,546
iggf,2024
gfdf,232
fdfi,98
iaga,3484
fgcc,5136
ccig,1773
igfe,226
gfei,1084
feid,331
eida,2549
dafi,2380
dgbi,1762
biga,1864
figg,1016
fggg,2680
ibge,1842
gega,5517
ggib,544
gibi,405
bigc,1856
fbge,478
egfb,502
fbgg,616
bgga,2218
bgai,7875
aige,1619
igeg,2472
egdg,2054
ifai,2041
aibi,615
ibii,127
daib,970
fcia,369
ciai,3723
iaie,690
iegd,1638
ific,1869
fici,4803
icia,2561
iaif,4485
aifa,4454
aica,5223
icag,4867
cagc,3798
idai,2531
ggff,5691
ffif,2836
bgic,1815
faig,2039
agfc,2468
eifi,806
agge,2939
ggeg,5967
igad,1404
dgdd,1116
ddic,1010
iifg,2422
ifge,2007
ifib,1797
ibgc,2758
aicd,1992
icdg,3525
cdga,1690
dgaf,2431
aggc,4450
