r-gram,Counts
fcf,171752
cfb,84058
fbk,42059
bkc,118282
kcc,166680
ccf,96137
cfc,396626
fck,156310
ckb,87480
kbb,28536
bbf,17379
bfc,95096
ckc,495945
kck,203818
ccb,80604
cbc,225258
bcb,44243
bcf,87018
cbb,24818
bbc,53695
bcc,52582
kcb,106370
fbb,27315
fbf,30675
kcf,158587
cbk,45927
fcc,95006
cck,137527
cff,21461
ffc,22610
kbk,33545
bkf,1431
kfc,10426
bck,103927
fcb,101690
cbf,36904
cfk,11349
fkc,13804
bfb,17366
kbf,35188
bff,4506
ffb,3679
bbb,6786
bbk,9595
fff,558
ckk,7900
kkc,7424
bkb,10110
kbc,2922
ckf,10257
fbc,5895
kfb,841
bfk,3178
bkk,1303
kff,400
kkb,1779
fkb,822
ffk,78
ccc,219
kfk,22
fkf,1
